studium_id,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP,prumer
17929506,1.5,2.0,1.5,2.0,2.0,2.5,4.0,2.0,4.0,3.0,4.0,4.0,4.0,,,,,,,,2.8076923076923075
17931206,4.0,2.0,1.5,2.5,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.4
15569706,3.0,1.5,1.5,2.0,1.5,1.5,2.0,1.0,1.0,2.0,2.0,1.5,2.0,1.0,2.0,1.5,4.0,4.0,1.5,4.0,2.025
16729706,,,,,2.0,2.0,4.0,,4.0,4.0,4.0,4.0,4.0,,,,,,1.5,,3.2777777777777777
17931606,1.5,1.0,1.0,1.5,2.5,2.5,2.0,1.5,1.0,4.0,4.0,4.0,4.0,,,,,,,,2.3461538461538463
16715206,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.5,1.5,4.0,2.5,3.0,4.0,,4.0,4.0,,,,4.0,2.65625
18590406,4.0,2.5,1.5,2.5,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.45
17907806,4.0,2.5,1.0,2.5,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.4
16766806,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,2.0,1.0,1.0,2.0,2.0,1.0,,1.5,,1.2222222222222223
16754806,4.0,2.5,1.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,,4.0,4.0,,4.0,4.0,,,4.0,,3.1666666666666665
15603306,3.0,1.5,1.0,3.0,2.5,2.5,2.0,2.0,3.0,2.5,4.0,3.0,2.5,,3.0,2.0,2.0,,4.0,4.0,2.638888888888889
16767906,2.0,,,2.0,2.5,3.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,3.4583333333333335
17333306,3.0,2.0,1.0,4.0,2.0,,4.0,1.0,2.5,,4.0,4.0,,,,2.0,,,1.0,,2.5416666666666665
17916306,4.0,2.5,2.5,4.0,4.0,2.5,4.0,4.0,4.0,4.0,,,,,,,,,,,3.55
18586606,4.0,2.5,1.5,3.0,3.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.4
