studium_id,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP
17929506,1.5,2.0,1.5,2.0,2.0,2.5,4.0,2.0,4.0,3.0,4.0,4.0,4.0,,,,,,,
17931206,4.0,2.0,1.5,2.5,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,
15569706,3.0,1.5,1.5,2.0,1.5,1.5,2.0,1.0,1.0,2.0,2.0,1.5,2.0,1.0,2.0,1.5,4.0,4.0,1.5,4.0
16729706,,,,,2.0,2.0,4.0,,4.0,4.0,4.0,4.0,4.0,,,,,,1.5,
17931606,1.5,1.0,1.0,1.5,2.5,2.5,2.0,1.5,1.0,4.0,4.0,4.0,4.0,,,,,,,
16715206,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.5,1.5,4.0,2.5,3.0,4.0,,4.0,4.0,,,,4.0
18590406,4.0,2.5,1.5,2.5,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,
17907806,4.0,2.5,1.0,2.5,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,
16766806,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,2.0,1.0,1.0,2.0,2.0,1.0,,1.5,
16754806,4.0,2.5,1.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,,4.0,4.0,,4.0,4.0,,,4.0,
15603306,3.0,1.5,1.0,3.0,2.5,2.5,2.0,2.0,3.0,2.5,4.0,3.0,2.5,,3.0,2.0,2.0,,4.0,4.0
16767906,2.0,,,2.0,2.5,3.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,
17333306,3.0,2.0,1.0,4.0,2.0,,4.0,1.0,2.5,,4.0,4.0,,,,2.0,,,1.0,
17916306,4.0,2.5,2.5,4.0,4.0,2.5,4.0,4.0,4.0,4.0,,,,,,,,,,
18586606,4.0,2.5,1.5,3.0,3.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,
14249306,2.5,2.5,2.0,1.0,1.5,2.5,2.5,2.0,2.5,3.0,2.5,2.5,2.5,2.5,2.0,2.5,2.5,4.0,2.5,1.5
16711106,4.0,3.0,1.0,4.0,2.5,4.0,,2.5,3.0,4.0,4.0,4.0,4.0,,,,,,,
16742106,2.5,1.5,1.0,1.5,2.0,1.5,4.0,2.5,3.0,3.0,,,,,,,,,,
15551706,3.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,
16711306,4.0,2.5,1.0,2.0,2.5,4.0,,2.5,4.0,4.0,,,,,,,,,,
16719806,4.0,2.0,1.0,1.0,2.0,1.5,,4.0,,,,,4.0,,,,,,,
