studium_id,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP
1578106,2.0,1.5,1.5,2.0,2.0,2.0,3.0,2.0,1.5,1.0,,2.0,3.0,1.5,2.0,3.0,1.5,1.5,2.5,3.0
1584806,,,,,,,,,,,,,,,,,,,,
4783406,4.0,3.0,1.5,4.0,2.5,2.5,,,4.0,4.0,,,,4.0,,,,,,
8396706,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
4047706,3.0,3.0,1.5,3.0,1.5,1.5,3.0,2.0,1.5,2.5,,2.5,2.0,2.5,2.5,2.5,2.0,1.5,1.5,2.5
4288906,4.0,4.0,1.5,2.5,1.5,1.0,4.0,,4.0,4.0,,,,4.0,,,,,,
5497506,2.5,3.0,3.0,4.0,3.0,4.0,4.0,4.0,1.5,2.0,,4.0,4.0,2.0,,,,,,
4792406,1.5,1.5,1.0,2.5,2.0,1.5,3.0,2.5,3.0,2.0,,4.0,3.0,2.5,2.5,4.0,4.0,1.0,2.0,
9226106,1.5,1.5,1.0,2.5,2.0,1.5,4.0,2.5,4.0,2.0,,3.0,3.0,2.5,2.5,4.0,4.0,1.0,2.0,4.0
5504406,2.5,4.0,1.5,4.0,4.0,2.5,2.5,,4.0,3.0,,,,4.0,,,,,,
3772306,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
3762506,4.0,3.0,1.5,2.5,2.0,2.0,,,4.0,4.0,,,,4.0,,,,,,
5497006,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
4219506,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
4379006,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
6259406,4.0,2.5,4.0,4.0,2.5,4.0,4.0,,4.0,4.0,,,,,,,,,,
1590906,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
5523206,4.0,2.5,2.5,4.0,3.0,3.0,4.0,,4.0,4.0,,,,4.0,,,,,,
3728706,,,,,,,,,,,,,,,,,,,,
5500506,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
5524406,3.0,2.5,1.0,4.0,1.5,2.5,4.0,3.0,4.0,3.0,,4.0,4.0,,4.0,4.0,,,,2.0
7819906,4.0,2.5,1.0,4.0,1.5,2.5,,4.0,,,,4.0,,,,,,,,2.0
7810906,4.0,2.5,4.0,4.0,2.5,4.0,,,,,,,,,,,,,,
5712106,2.5,2.0,2.5,4.0,3.0,3.0,4.0,,2.5,2.5,,,,4.0,,,,,,
12375406,2.5,2.0,2.5,3.0,2.5,2.5,3.0,2.5,2.5,2.5,,3.0,3.0,3.0,2.5,2.5,2.0,1.0,2.0,2.0
