studium_id,MI-PAA,MI-MPI,MI-PDP.16,MI-SPI.16
9249706,,4.0,,
9236906,2.5,2.5,,
8333406,,4.0,,
9248206,2.5,3.0,,
13027706,2.5,2.5,,4.0
14794806,3.0,3.0,2.0,2.5
6854606,1.5,2.5,,
6805806,1.5,1.5,,
6806006,2.5,2.0,,
6806106,2.0,2.0,,
6806206,3.0,2.5,,
6806406,2.0,2.5,,
6806506,1.5,2.5,,
6440406,,,,
6396706,4.0,4.0,,
11644206,4.0,4.0,,
6854706,1.0,2.0,,
6956706,2.0,2.0,,
6806906,1.5,3.0,,
8331106,,4.0,,
6807706,2.5,2.5,,
6396806,2.0,3.0,,
6808306,2.0,1.5,,
6808606,2.0,2.0,,
6810106,2.0,3.0,,
6957006,2.0,2.5,,
6810406,1.5,1.5,,
8345006,1.5,2.0,,
8345406,2.0,2.5,,
8341906,,4.0,,
9237706,2.0,3.0,,
6811206,1.5,2.5,,
6811406,2.0,1.5,,
6811606,2.0,3.0,,
9979506,2.5,3.0,,
6811906,2.0,2.0,,
6812006,2.0,3.0,,
6812106,2.0,2.5,,
6430406,2.0,1.0,,
6812606,2.0,2.0,,
6812806,2.5,3.0,,
6812906,1.0,1.0,,
12234106,2.0,2.5,,
6813006,,2.5,,
6813306,2.0,3.0,,
6813706,1.5,2.5,,
6855006,2.0,2.5,,
6814206,2.0,2.0,,
13500006,4.0,4.0,,
6814306,4.0,2.5,,
11651606,4.0,2.5,,
6814606,2.5,3.0,,
6392906,2.5,2.5,,
6815006,1.5,3.0,,
6855106,2.0,3.0,,
8327306,1.5,3.0,,
8333006,,4.0,,
6815406,,4.0,,
6815506,,3.0,,
6816106,2.5,2.5,,
6816306,1.0,2.0,,
8329306,3.0,3.0,,
6816706,2.0,2.5,,
8324406,1.5,2.0,,
6816906,1.0,2.0,,
6817106,1.0,1.0,,
6817206,2.0,2.5,,
6438506,1.5,2.0,,
6817406,1.5,2.0,,
9244606,1.5,2.0,,
6817506,1.5,2.5,,
6817606,3.0,2.5,,
6957306,2.0,2.5,,
8330506,,4.0,,
9249606,4.0,3.0,,
8332406,1.5,2.5,,
8343406,,3.0,,
6817906,1.5,2.0,,
6818106,2.0,1.5,,
6818706,1.5,1.5,,
8373906,,4.0,,
13020006,2.5,2.5,2.0,2.5
9251606,2.5,4.0,,
6819306,4.0,2.5,,
12234706,2.5,2.5,,
9231906,2.5,2.5,,
8328406,1.5,3.0,,
8374106,,4.0,,
9982306,3.0,3.0,,
6819706,1.5,2.5,,
6422506,1.0,2.0,,
6819806,2.5,3.0,,
6820006,2.0,2.5,,
6820506,2.5,2.5,,
6855606,1.5,2.0,,
6821606,1.5,2.5,,
6821706,2.0,2.5,,
8333306,2.5,2.5,,
13035206,2.5,2.5,,3.0
8328106,2.0,2.0,,
6855706,2.0,2.5,,
6855806,,4.0,,
6822206,4.0,2.0,,
11658706,4.0,2.0,,
8344706,,4.0,,
9232406,1.5,2.5,,
6822306,1.5,4.0,,
6822406,1.5,2.0,,
6822506,2.5,2.5,,
6822606,2.5,2.5,,
6823006,2.5,2.5,,
6823106,2.5,2.5,,
6815906,2.5,2.5,,
8330106,3.0,2.5,,
6855506,2.0,3.0,,
6821006,2.5,2.5,,
8338706,1.5,2.5,,
6854406,2.0,3.0,,
6809806,4.0,3.0,,
8335506,,4.0,,
6815206,2.0,2.5,,
6812206,1.0,1.5,,
6821906,3.0,2.5,,
6809606,2.5,2.0,,
9242606,3.0,3.0,,
8346306,,4.0,,
9248306,,4.0,,
11652506,,,,
8330606,2.5,2.5,,
6820306,1.5,1.0,,
6817006,2.0,2.0,,
8652706,,4.0,,
6813806,4.0,3.0,,
9236106,2.5,3.0,,
11650306,2.5,3.0,,
6805706,2.0,3.0,,
8339106,3.0,2.0,,
6810706,4.0,3.0,,
9245206,,4.0,,
8372506,2.5,3.0,,
6420506,2.0,2.5,,
6868806,2.0,3.0,,
6806606,2.0,2.5,,
6808206,2.0,3.0,,
12235706,2.0,2.5,,
6806706,,4.0,,
8326806,,3.0,,
6432506,2.5,3.0,,
6809906,2.5,2.5,,
6809406,2.0,3.0,,
9234506,2.0,2.5,,
13030006,2.0,2.5,1.5,3.0
8337006,2.0,4.0,,
9981306,,4.0,,
