studium_id,BI-AAG,BI-ZMA,BI-LIN,BI-ZDM,prumer
17929506,,2.5,3.0,,2.75
17931206,,,,,
15569706,1.5,1.5,2.0,2.0,1.75
16729706,4.0,2.0,4.0,,3.3333333333333335
17931606,,2.5,,,2.5
16715206,3.0,3.0,4.0,4.0,3.5
18590406,,4.0,,,4.0
17907806,,,,,
16766806,2.0,1.0,1.5,1.0,1.375
16754806,4.0,2.0,4.0,4.0,3.5
15603306,3.0,2.5,2.5,2.5,2.625
16767906,4.0,3.0,4.0,,3.6666666666666665
17333306,4.0,,,,4.0
17916306,,2.5,,,2.5
18586606,,,,,
14249306,2.5,2.5,3.0,2.5,2.625
16711106,,,4.0,,4.0
16742106,,1.5,3.0,,2.25
15551706,,4.0,,,4.0
16711306,,4.0,,,4.0
16719806,,1.5,,,1.5
17907306,,4.0,,,4.0
17934406,,,,,
17336206,,4.0,4.0,,4.0
17946706,,,2.0,,2.0
14247306,2.0,2.0,3.0,2.5,2.375
17921906,,2.0,,,2.0
14291006,2.0,2.0,2.5,3.0,2.375
17908206,,2.5,4.0,,3.25
18607706,,4.0,,,4.0
17329606,2.5,4.0,4.0,4.0,3.625
16768506,4.0,2.5,2.5,4.0,3.25
17904106,,4.0,,,4.0
16755706,,2.5,,,2.5
17918006,,,,,
17335106,3.0,,3.0,2.5,2.8333333333333335
17332706,,2.0,2.5,,2.25
15572106,2.5,2.5,3.0,2.5,2.625
17914706,,4.0,,,4.0
17913906,,4.0,,,4.0
15598006,2.5,1.5,3.0,3.0,2.5
16771606,2.5,2.5,2.5,2.0,2.375
14318106,2.5,3.0,2.0,2.5,2.5
16768606,,3.0,,,3.0
17334506,4.0,4.0,4.0,4.0,4.0
17779106,,,,,
17920506,,4.0,,,4.0
17936306,,4.0,,,4.0
15550306,,2.5,,,2.5
15575206,3.0,2.5,2.0,2.5,2.5
15615706,2.0,2.0,3.0,2.0,2.25
15589906,2.0,1.5,2.0,2.0,1.875
15617006,1.5,2.5,3.0,2.5,2.375
15596906,2.0,1.0,2.0,1.5,1.625
15563906,2.0,2.0,3.0,2.5,2.375
15587806,1.0,1.5,1.5,1.5,1.375
15620506,2.0,4.0,2.5,2.5,2.75
16722806,,2.5,,,2.5
19799606,,,,,
19884406,,,,,
17947006,,4.0,,,4.0
12998006,2.0,2.0,2.5,3.0,2.375
18601706,3.0,,,3.0,3.0
17943606,,2.5,,,2.5
16735006,,4.0,4.0,,4.0
17916806,,4.0,,,4.0
16728206,4.0,2.5,4.0,4.0,3.625
17919806,,,,,
17325406,2.0,2.5,,,2.25
18587606,,4.0,,,4.0
18587706,,,,,
18603306,,2.0,,,2.0
18581506,,2.5,,,2.5
15560906,4.0,2.5,3.0,2.5,3.0
16751806,2.5,1.5,2.5,2.5,2.25
16720206,,2.5,4.0,,3.25
17327106,,1.0,2.0,,1.5
14321806,1.5,1.0,2.0,2.5,1.75
16728806,,,2.5,2.0,2.25
14798306,1.5,1.0,2.0,2.0,1.625
18599406,,,,,
16747206,2.0,,,2.5,2.25
16722406,,2.5,4.0,,3.25
14277706,1.5,1.5,2.5,4.0,2.375
17938806,,2.0,3.0,,2.5
17905206,,4.0,4.0,,4.0
18593406,,4.0,,,4.0
15564006,1.5,2.5,2.5,2.5,2.25
17908106,,,,,
18599906,,,,,
17916606,,4.0,,,4.0
17936806,,1.5,3.0,,2.25
16750806,,2.5,4.0,,3.25
16716506,4.0,1.5,2.5,2.5,2.625
17901606,,,,,
17333906,,,2.5,,2.5
17929406,,4.0,4.0,,4.0
16749306,2.5,,2.5,2.0,2.3333333333333335
17335306,4.0,2.5,4.0,4.0,3.625
17929006,,2.0,3.0,,2.5
16729606,,2.5,4.0,4.0,3.5
14256806,1.5,2.5,2.5,2.5,2.25
17929906,,4.0,,,4.0
18604006,,,,,
15569206,2.0,1.5,2.0,1.5,1.75
17911406,,4.0,,,4.0
16736106,2.5,2.5,2.5,,2.5
18588006,,4.0,,,4.0
16758406,,4.0,,,4.0
17918706,,,,,
14274006,2.5,2.0,3.0,2.0,2.375
15556306,1.5,2.0,2.5,2.0,2.0
14256106,2.5,2.5,2.5,3.0,2.625
14307306,2.0,1.5,2.0,2.5,2.0
17923006,,4.0,,,4.0
17938906,,4.0,,,4.0
17935706,,2.0,3.0,,2.5
18589306,,4.0,,,4.0
17327206,,1.5,2.5,4.0,2.6666666666666665
16772706,,2.5,,4.0,3.25
17950006,,3.0,,,3.0
15592406,1.5,1.5,2.0,2.0,1.75
18596506,,4.0,,,4.0
15578706,2.0,1.5,2.0,2.0,1.875
17935606,,2.0,3.0,,2.5
16730806,1.5,2.0,,1.5,1.6666666666666667
18597806,,4.0,,,4.0
17942906,,4.0,,,4.0
17931006,,4.0,,,4.0
16728606,,2.0,,4.0,3.0
16766206,3.0,2.0,2.0,4.0,2.75
16754006,2.5,4.0,2.5,4.0,3.25
16719906,4.0,2.0,2.5,4.0,3.125
16772806,,,2.5,2.0,2.25
15566206,1.5,1.5,3.0,2.0,2.0
15573806,1.5,2.0,3.0,3.0,2.375
15590406,2.0,2.0,2.5,2.5,2.25
15574306,1.5,2.0,2.5,2.5,2.125
15586106,2.0,2.0,3.0,2.0,2.25
14310206,2.0,2.5,3.0,2.5,2.5
14317806,3.0,2.0,3.0,2.5,2.625
15607406,1.0,2.5,2.5,2.0,2.0
15560706,1.5,2.0,2.0,2.0,1.875
15562806,1.5,2.0,2.5,2.5,2.125
15560406,1.5,1.5,2.0,2.5,1.875
15614106,1.5,1.5,2.5,2.0,1.875
14321606,2.0,1.5,1.5,2.5,1.875
14798406,1.5,1.5,2.0,3.0,2.0
15576006,1.0,1.5,1.5,1.0,1.25
16722206,2.0,,,2.0,2.0
14800106,1.5,1.5,2.0,2.0,1.75
15595506,2.0,1.0,1.5,2.0,1.625
16731806,,,,,
16719406,1.5,2.0,,,1.75
15594906,2.0,1.5,2.0,2.5,2.0
15615906,1.0,1.5,1.5,1.5,1.375
15571706,1.0,1.5,2.5,2.0,1.75
14268906,3.0,2.5,2.0,2.0,2.375
14318606,2.5,2.5,2.5,2.5,2.5
14311306,1.5,2.5,2.5,2.5,2.25
15564406,1.5,1.5,1.5,1.5,1.5
15575606,2.5,1.5,1.5,2.0,1.875
14254806,2.0,1.0,2.0,2.0,1.75
15603106,1.5,2.0,3.0,2.0,2.125
16732706,1.5,2.0,1.5,2.0,1.75
16733606,1.5,,2.5,2.5,2.1666666666666665
16739506,2.0,2.5,4.0,4.0,3.125
16712006,4.0,2.5,3.0,4.0,3.375
17913406,,4.0,,,4.0
16744106,,2.5,3.0,2.5,2.6666666666666665
17902306,,2.5,,,2.5
16735506,2.0,2.0,2.0,2.5,2.125
17938606,,4.0,,,4.0
18586906,,4.0,3.0,,3.5
17901706,,2.5,,,2.5
18581906,,,,4.0,4.0
18593706,,2.0,2.5,,2.25
17950906,,,,,
17919606,,,,,
17902706,,2.0,2.0,,2.0
17920606,,4.0,,,4.0
16728106,2.0,1.0,3.0,1.0,1.75
17903406,,4.0,,,4.0
17914906,,4.0,,,4.0
19319306,,,,,
19319006,,,,,
19318906,,,,,
19321506,,,,,
19319806,,,,,
19319606,,,,,
19304106,,,,,
16756206,,,2.5,4.0,3.25
16770906,2.5,4.0,4.0,4.0,3.625
18593306,,,4.0,,4.0
16756606,2.0,1.5,1.5,2.0,1.75
18578806,,,,,
17951006,,4.0,,,4.0
16745306,,2.5,,,2.5
18584706,,2.5,,,2.5
17903906,,2.0,2.0,,2.0
17906806,,4.0,,,4.0
17909906,,,,,
16757806,2.0,1.0,2.0,1.0,1.5
19229206,,,,,
19228506,,,,,
19228906,,,,,
16714606,,1.5,3.0,,2.25
17914406,,4.0,,,4.0
13516506,2.5,2.0,3.0,2.5,2.5
16730206,,2.0,4.0,,3.0
16774106,3.0,4.0,4.0,,3.6666666666666665
18599706,,,2.5,,2.5
17907206,,4.0,,,4.0
17917306,,4.0,,,4.0
15604006,2.5,2.5,2.5,4.0,2.875
17938106,,1.5,1.5,,1.5
18590906,,4.0,,,4.0
