semestr_id,predmet_id,studium_id,zapocteno,zakonceno,znamka,poradi_zapisu
B211,6115506,16731006,,,,1
B211,6115506,16755206,,,,1
B211,1477306,18600906,,,,1
B211,1477306,19815306,,,,1
B211,1477306,19368206,,,,1
B211,6115506,15563006,,,,1
B211,1477306,19319306,,,,1
B211,1477306,19140806,,,,1
B211,1477306,15549106,,,,1
B211,1477306,18585406,,,,1
B211,1477306,18593906,,,,1
B211,1477306,18588906,,,,1
B211,1477306,19349506,,,,1
B211,1477306,15611606,,,,1
B211,1477306,16193106,,,,1
B211,1477306,16742506,,,,1
B211,1477306,19318906,,,,1
B211,1477306,16741406,,,,1
B211,1477306,17944506,,,,1
B211,1477306,15558406,,,,1
B211,1477306,17924906,,,,1
B211,1477306,15576106,,,,1
B211,1477306,17946206,,,,1
B211,1477306,19108306,,,,1
B211,1477306,15597806,,,,1
B211,1477306,17924506,,,,1
B211,1477306,16739106,,,,1
B211,1477306,17910406,,,,1
B211,1477306,18596106,,,,1
B211,1477306,15568006,,,,1
B211,1477306,18605806,,,,1
B211,1477306,16763406,,,,1
B211,1477306,18583106,,,,1
B211,1477306,18581506,,,,1
B211,1477306,17913206,,,,1
B211,1477306,16735106,,,,1
B211,1477306,17922506,,,,1
B211,1477306,16772906,,,,1
B211,1477306,16195606,,,,1
B211,1477306,16733606,,,,1
B211,1477306,16768306,,,,1
B211,5699806,14280706,,,,1
B211,5699806,16747906,,,,1
B211,5699806,16728106,,,,1
B211,5699806,16723806,,,,1
B211,5699806,16730806,,,,1
B211,5699806,18600906,,,,1
B211,5699806,16733206,,,,1
B211,5699806,17948906,,,,1
B211,5699806,17925106,,,,1
B211,2676706,17902906,,,,1
B211,2676706,16759606,,,,1
B211,1121506,19098306,,,,1
B211,1121506,19122406,,,,1
B211,1121506,19096606,,,,1
B211,1121506,19104906,,,,1
B211,1121506,19131906,,,,1
B211,1121506,19110906,,,,1
B211,1121506,19111406,,,,1
B211,1121506,19124806,,,,1
B211,1121506,19132806,,,,1
B211,1121506,19114106,,,,1
B211,1121506,19100706,,,,1
B211,1121506,19129106,,,,1
B211,1121506,19096206,,,,1
B211,1121506,19130106,,,,1
B211,1121506,19116306,,,,1
B211,1121506,19115306,,,,1
B211,1121506,19098906,,,,1
B211,1121506,19117806,,,,1
B211,1121506,19102706,,,,1
B211,1121506,19103806,,,,1
B211,1121506,19146506,,,,1
B211,1121506,19098406,,,,1
B211,1121506,19114006,,,,1
B211,1121506,19138706,,,,1
B211,1121506,19110006,,,,1
B211,1121506,19144506,,,,1
B211,1121506,19111506,,,,1
B211,1121506,19132506,,,,1
B211,1121506,19141606,,,,1
B211,1121506,19134506,,,,1
B211,1121506,19095806,,,,1
B211,1121506,19114306,,,,1
B211,1121506,19127106,,,,1
B211,1121506,19145906,,,,1
B211,1121506,19109906,,,,1
B211,1121506,19129306,,,,1
B211,1121506,19113106,,,,1
B211,1121506,19137206,,,,1
B211,1121506,19111806,,,,1
B211,1121506,19136006,,,,1
B211,1121506,19113206,,,,1
B211,1121506,19142606,,,,1
B211,1121506,19121906,,,,1
B211,1121506,19098506,,,,1
B211,1121506,19099606,,,,1
B211,1121506,19102106,,,,1
B211,1121506,19118006,,,,1
B211,1121506,19143206,,,,1
B211,1121506,19107506,,,,1
B211,1121506,19108006,,,,1
B211,1121506,19099306,,,,1
B211,1121506,19113306,,,,1
B211,1121506,19124906,,,,1
B211,1121506,19109406,,,,1
B211,1121506,19119406,,,,1
B211,1121506,19097806,,,,1
B211,1121506,19120706,,,,1
B211,1121506,19144806,,,,1
B211,1121506,19118906,,,,1
B211,1121506,19124706,,,,1
B211,1121506,19117106,,,,1
B211,1121506,19130906,,,,1
B211,1121506,19105906,,,,1
B211,1121506,19143506,,,,1
B211,1121506,19141806,,,,1
B211,1121506,19135606,,,,1
B211,1121506,19136706,,,,1
B211,1121506,19116406,,,,1
B211,1121506,19137106,,,,1
B211,1121506,19095406,,,,1
B211,1121506,19106906,,,,1
B211,1121506,19127606,,,,1
B211,1121506,19130706,,,,1
B211,1121506,19116006,,,,1
B211,1121506,19106206,,,,1
B211,1121506,19134606,,,,1
B211,1121506,19128006,,,,1
B211,1121506,19098806,,,,1
B211,1121506,19103006,,,,1
B211,1121506,19115706,,,,1
B211,1121506,19119006,,,,1
B211,1121506,19126006,,,,1
B211,1121506,19139606,,,,1
B211,1121506,19133106,,,,1
B211,1121506,19120306,,,,1
B211,1121506,19111706,,,,1
B211,1121506,19141006,,,,1
B211,1121506,19143906,,,,1
B211,1121506,19097406,,,,1
