semestr_id,predmet_id,studium_id,zapocteno,zakonceno,znamka,poradi_zapisu
B181,1122206,14806506,Z,1.0,2.5,1
B191,1121506,16720806,Z,,4.0,1
B191,1121506,16720906,Z,,4.0,1
B191,1121506,16721006,,,4.0,1
B191,1121506,16721106,Z,1.0,2.5,1
B191,1121506,16721206,Z,1.0,2.5,1
B191,1121506,16721306,Z,1.0,3.0,1
B191,1121506,16721406,,,4.0,1
B191,1121506,16721506,Z,1.0,3.0,1
B191,1121506,16721606,Z,1.0,2.5,1
B191,1121506,16721806,Z,1.0,1.0,1
B191,1121506,16721706,Z,1.0,2.0,1
B191,1121506,16720706,,,4.0,1
B191,1121506,16721906,Z,1.0,2.5,1
B191,1121506,16722306,Z,1.0,1.0,1
B191,1121506,16722406,Z,,4.0,1
B191,1121506,16722506,Z,1.0,2.0,1
B191,1121506,16722606,Z,1.0,1.0,1
B191,1121506,16722706,Z,1.0,2.0,1
B191,1121506,16722806,N,,4.0,1
B191,1121506,16722906,,,4.0,1
B191,1121506,16723006,Z,1.0,2.5,1
B191,1121506,16723106,Z,,4.0,1
B191,1121506,16723206,Z,1.0,2.5,1
B191,1121506,16723306,Z,1.0,2.0,1
B191,1121506,16722006,Z,1.0,3.0,1
B191,1121506,16720506,Z,1.0,2.5,1
B191,1121506,16720406,N,,4.0,1
B191,1121506,16720306,Z,1.0,1.5,1
B191,1121506,16717406,Z,1.0,2.5,1
B191,1121506,16717506,Z,,4.0,1
B191,1121506,16717606,,,4.0,1
B191,1121506,16717706,N,,4.0,1
B191,1121506,16717906,Z,1.0,1.5,1
B191,1121506,16717806,Z,1.0,2.0,1
B191,1121506,16718006,Z,1.0,3.0,1
B191,1121506,16718106,Z,,4.0,1
B191,1121506,16718206,,,4.0,1
B191,1121506,16718306,Z,1.0,2.5,1
B191,1121506,16718506,,,4.0,1
B191,1121506,16718406,Z,,4.0,1
B191,1121506,16718606,,,4.0,1
B191,1121506,16718706,Z,1.0,2.0,1
B191,1121506,16718806,Z,,4.0,1
B191,1121506,16718906,Z,1.0,3.0,1
B191,1121506,16719006,Z,1.0,3.0,1
B191,1121506,16719106,Z,1.0,2.0,1
B191,1121506,16719206,,,4.0,1
B191,1121506,16719306,Z,1.0,2.0,1
B191,1121506,16719606,,,4.0,1
B191,1121506,16719506,N,,4.0,1
B191,1121506,16719806,Z,,4.0,1
B191,1121506,16719906,Z,,4.0,1
B191,1121506,16720206,Z,1.0,2.5,1
B191,1121506,16723406,Z,1.0,2.0,1
B191,1121506,16717306,,,4.0,1
B191,1121506,16723506,Z,1.0,2.5,1
B191,1121506,16723806,Z,1.0,2.0,1
B191,1121506,16727506,Z,1.0,2.0,1
B191,1121506,16727606,Z,1.0,3.0,1
B191,1121506,16727806,Z,1.0,3.0,1
B191,1121506,16727706,,,4.0,1
B191,1121506,16727906,Z,1.0,2.0,1
B191,1121506,16728006,,,4.0,1
B191,1121506,16728106,Z,1.0,1.0,1
B191,1121506,16728206,Z,1.0,3.0,1
B191,1121506,16728306,Z,,4.0,1
B191,1121506,16728406,Z,,4.0,1
B191,1121506,16728506,N,,4.0,1
B191,1121506,16727406,Z,1.0,2.0,1
B191,1121506,16728606,Z,,4.0,1
B191,1121506,16729006,,,4.0,1
B191,1121506,16728906,,,4.0,1
