semestr_id,predmet_id,studium_id,zapocteno,zakonceno,znamka,poradi_zapisu
B211,1760806,17898306,,,,1
B111,1435206,4228206,1,1.0,1.5,1
B111,1435206,3688106,1,1.0,1.0,1
B111,1435206,3694006,1,1.0,3.0,1
B111,1435206,3689206,1,1.0,1.0,1
B111,1435206,3693606,1,1.0,1.5,1
B111,1435206,3689106,1,1.0,2.5,1
B111,1435206,3687406,0,0.0,4.0,1
B111,1435206,3687106,1,1.0,1.5,1
B111,1435206,3685006,1,1.0,2.0,1
B111,1435206,3687806,1,1.0,1.0,1
B111,1435206,3692006,1,1.0,1.5,1
B111,1435206,3690606,0,0.0,4.0,1
B111,1435206,3694206,1,1.0,2.5,1
B111,1435206,3693506,1,1.0,1.0,1
B111,1435206,3690406,0,0.0,4.0,1
B111,1435206,3683006,1,1.0,3.0,1
B111,1435206,3686406,0,0.0,4.0,1
B111,1435206,4015506,1,1.0,2.0,1
B111,1435206,3693206,1,1.0,2.0,1
B111,1435206,3683706,0,0.0,4.0,1
B111,1435206,4015606,1,1.0,2.0,1
B111,1435206,4018106,1,1.0,2.0,1
B111,1435206,3685506,1,1.0,1.0,1
B111,1435206,4010906,0,0.0,4.0,1
B111,1435206,3691406,1,1.0,2.5,1
B111,1435206,3695806,0,0.0,4.0,1
B111,1435206,3693706,1,1.0,2.5,1
B111,1435206,3695606,1,1.0,2.0,1
B111,1435206,3686506,0,0.0,4.0,1
B111,1435206,4015806,1,1.0,2.0,1
B111,1435206,4014106,1,1.0,2.0,1
B111,1435206,3694306,1,1.0,1.5,1
B111,1435206,3693906,1,1.0,2.5,1
B111,1435206,4016506,1,1.0,2.0,1
B111,1435206,3692106,0,0.0,4.0,1
B111,1435206,3686806,1,1.0,3.0,1
B111,1435206,4017906,0,0.0,4.0,1
B111,1435206,4016706,1,1.0,1.0,1
B111,1435206,3694706,1,1.0,2.5,1
B111,1435206,4010006,1,1.0,2.5,1
B111,1435206,3691506,1,1.0,2.0,1
B111,1435206,3685906,1,1.0,2.0,1
B111,1435206,3693406,0,0.0,4.0,1
