semestr_id,predmet_id,studium_id,zapocteno,zakonceno,znamka,poradi_zapisu
B192,4661406,16699706,Z,1.0,2.5,1
B181,1432506,14317006,Z,1.0,1.5,1
B181,1432506,15710506,Z,1.0,2.5,1
B181,1432506,15689606,,,4.0,1
B181,1432506,15630006,N,,4.0,1
B181,1432506,15635106,Z,1.0,2.5,1
B181,1432506,15635006,Z,1.0,1.5,1
B181,1432506,15634906,Z,1.0,2.5,1
B181,1432506,14312806,Z,1.0,3.0,1
B181,1432506,15634806,Z,1.0,3.0,1
B181,1432506,15634506,Z,1.0,3.0,1
B181,1432506,15634306,Z,1.0,2.0,1
B181,1432506,15634206,Z,1.0,2.5,1
B181,1432506,15634106,,,4.0,1
B181,1432506,15634006,Z,1.0,3.0,1
B181,1432506,15633906,Z,1.0,3.0,1
B181,1432506,15633706,Z,1.0,2.0,1
B181,1432506,15634706,N,,4.0,1
B181,1432506,14286606,Z,1.0,3.0,1
B181,1432506,15629206,,,4.0,1
B181,1432506,15632206,Z,1.0,2.0,1
B181,1432506,16198406,Z,1.0,1.5,1
B181,1432506,16198006,,,4.0,1
B181,1432506,16197806,Z,1.0,2.0,1
B181,1432506,16197706,N,,4.0,1
B181,1432506,16197606,Z,1.0,2.5,1
B181,1432506,16197506,N,,4.0,1
B181,1432506,16197306,Z,1.0,2.5,1
B181,1432506,16197206,Z,1.0,2.5,1
B181,1432506,16197106,Z,1.0,1.0,1
B181,1432506,16196806,Z,1.0,2.5,1
B181,1432506,16196706,Z,1.0,2.0,1
B181,1432506,16196606,,,4.0,1
B181,1432506,16196506,Z,1.0,2.5,1
B181,1432506,15642106,,,4.0,1
B181,1432506,15642506,Z,1.0,2.5,1
B181,1432506,15636106,Z,1.0,2.0,1
B181,1432506,15633806,Z,1.0,1.5,1
B181,1432506,15633606,Z,1.0,1.5,1
B171,1432506,14271606,Z,1.0,2.0,1
B171,1432506,14255206,Z,1.0,2.0,1
B171,1432506,14252506,Z,1.0,2.0,1
B161,1432506,13029006,Z,1.0,1.5,1
B161,1432506,13030306,,,4.0,1
B161,1432506,13023106,Z,1.0,2.5,1
B161,1432506,13029506,Z,1.0,1.5,1
B161,1432506,13022806,Z,1.0,1.0,1
B161,1432506,13035006,Z,1.0,2.0,1
B161,1432506,13019006,Z,1.0,1.5,1
B161,1432506,13027506,Z,1.0,1.5,1
B161,1432506,13028406,Z,1.0,1.5,1
B161,1432506,13502506,Z,1.0,2.0,1
B161,1432506,13498906,Z,1.0,2.0,1
B161,1432506,13499906,Z,1.0,2.0,1
B161,1432506,13499506,Z,1.0,1.5,1
B161,1432506,13502106,,,4.0,1
B161,1432506,13502006,,,4.0,1
B161,1432506,13501906,Z,1.0,2.5,1
B161,1432506,13501806,N,,4.0,1
B161,1432506,13017806,Z,1.0,1.0,1
B181,1432506,16198706,,,4.0,1
B161,1432506,13032606,Z,1.0,2.0,1
B161,1432506,13036206,Z,1.0,2.5,1
B171,1432506,14266506,Z,1.0,1.5,1
B171,1432506,14258706,Z,1.0,2.0,1
B171,1432506,14279206,Z,1.0,1.5,1
B171,1432506,13026906,Z,1.0,1.5,1
B161,1432506,13029206,Z,1.0,1.0,1
B161,1432506,13028906,Z,1.0,1.5,1
B161,1432506,13032806,Z,1.0,2.0,1
B161,1432506,13029806,Z,1.0,1.0,1
B161,1432506,13021806,Z,1.0,2.5,1
B161,1432506,13018906,Z,1.0,2.0,1
B161,1432506,13030106,Z,1.0,1.5,1
B161,1432506,13017106,Z,1.0,2.5,1
B161,1432506,13034406,Z,1.0,2.5,1
B161,1432506,13025706,Z,1.0,2.0,1
B161,1432506,13033006,N,,4.0,1
B161,1432506,13021906,Z,1.0,2.5,1
B161,1432506,13034706,,,4.0,1
B161,1432506,13018806,Z,1.0,2.0,1
B181,1432506,16198106,Z,1.0,3.0,1
B181,1432506,16198206,,,4.0,1
B181,1432506,16198506,Z,1.0,2.5,1
B171,1432506,14284006,Z,1.0,1.0,1
B171,1432506,14283506,Z,1.0,2.0,1
B171,1432506,14283206,Z,1.0,2.0,1
B171,1432506,14283106,Z,1.0,2.0,1
B171,1432506,14282806,,,4.0,1
B171,1432506,14253006,Z,1.0,2.0,1
B171,1432506,14252806,Z,1.0,1.5,1
B171,1432506,14311406,N,,4.0,1
B171,1432506,14281906,Z,,4.0,1
B171,1432506,14280906,Z,1.0,1.5,1
B171,1432506,14280506,Z,1.0,2.5,1
B171,1432506,14251106,,,4.0,1
B171,1432506,14249906,Z,1.0,1.5,1
B171,1432506,14310506,Z,1.0,1.0,1
B171,1432506,14309306,Z,1.0,2.0,1
B171,1432506,14280206,Z,1.0,2.0,1
B171,1432506,14248806,,,4.0,1
B171,1432506,14285106,Z,1.0,2.0,1
B171,1432506,14248606,Z,1.0,1.5,1
B171,1432506,14285606,Z,1.0,2.0,1
B171,1432506,14315606,Z,1.0,1.5,1
B171,1432506,14766006,,,4.0,1
B171,1432506,14793206,,,4.0,1
B171,1432506,14793106,Z,1.0,1.0,1
B171,1432506,14793006,Z,1.0,3.0,1
B171,1432506,14792906,Z,1.0,1.5,1
B171,1432506,14792806,Z,1.0,2.5,1
B171,1432506,14792606,Z,1.0,2.5,1
B171,1432506,14319106,Z,1.0,2.0,1
B171,1432506,14319006,,,4.0,1
B171,1432506,14288506,Z,1.0,2.0,1
B171,1432506,14257906,Z,1.0,2.0,1
B171,1432506,14318406,Z,1.0,2.0,1
B171,1432506,14317406,Z,1.0,2.5,1
B171,1432506,14317306,Z,1.0,2.5,1
B171,1432506,14316906,,,4.0,1
B171,1432506,14287406,Z,1.0,2.0,1
B171,1432506,14256506,Z,1.0,1.5,1
B171,1432506,14315106,Z,,,1
B161,1432506,13502806,Z,1.0,2.0,1
B171,1432506,14248506,Z,1.0,2.5,1
B171,1432506,14247506,Z,1.0,2.0,1
B171,1432506,13019106,Z,1.0,1.0,1
B171,1432506,14274506,,,4.0,1
B171,1432506,14250806,,,4.0,1
B171,1432506,14254406,Z,1.0,2.0,1
B171,1432506,13032306,,,4.0,1
B171,1432506,14256006,Z,1.0,2.5,1
B171,1432506,13017006,Z,1.0,1.5,1
B191,1432506,16693606,,,4.0,1
B181,1432506,16197006,Z,1.0,3.0,1
B181,1432506,15628706,,,4.0,1
B181,1432506,16197406,,,4.0,1
B181,1432506,16198606,Z,1.0,3.0,1
B181,1432506,15634606,,,4.0,1
B181,1432506,15643306,,,4.0,1
B181,1432506,15643206,,,4.0,1
B181,1432506,16203206,,,4.0,1
B181,1432506,16198306,N,,4.0,1
B171,1432506,14301606,Z,1.0,1.0,1
B171,1432506,14248206,,,4.0,1
B171,1432506,14302006,Z,1.0,1.0,1
B171,1432506,14273706,Z,,,1
B171,1432506,14308706,Z,1.0,1.5,1
B171,1432506,14277806,Z,1.0,2.0,1
B171,1432506,14277406,Z,1.0,1.5,1
B171,1432506,14276906,,,4.0,1
B171,1432506,14276606,,,4.0,1
B171,1432506,14246706,Z,1.0,2.0,1
B171,1432506,14246506,Z,1.0,2.0,1
B171,1432506,14304906,Z,1.0,1.5,1
B171,1432506,14276306,,,4.0,1
B171,1432506,14275806,Z,1.0,1.5,1
B171,1432506,14274706,Z,1.0,1.0,1
B171,1432506,14276106,Z,1.0,2.5,1
B171,1432506,14276006,Z,1.0,1.0,1
B171,1432506,14244906,Z,1.0,2.0,1
B171,1432506,14244706,Z,1.0,2.5,1
B171,1432506,14244406,Z,1.0,1.5,1
B171,1432506,14303506,Z,1.0,1.5,1
B171,1432506,14242206,Z,1.0,2.5,1
B171,1432506,14793506,Z,1.0,1.0,1
B161,1432506,13501606,,,4.0,1
B161,1432506,13502706,Z,1.0,2.0,1
B171,1432506,14318506,Z,1.0,1.5,1
B171,1432506,14287206,,,4.0,1
B171,1432506,14249606,Z,1.0,1.5,1
B171,1432506,14297206,Z,1.0,2.0,1
B171,1432506,14288006,Z,1.0,1.0,1
B171,1432506,14285906,Z,1.0,2.0,1
B171,1432506,14250506,Z,1.0,1.5,1
B171,1432506,14242006,Z,1.0,1.5,1
B171,1432506,14282506,Z,1.0,1.5,1
B171,1432506,14303406,Z,1.0,2.5,1
B171,1432506,13019506,,,4.0,1
B171,1432506,14308806,Z,1.0,1.0,1
