studium_id,pohlavi_kod,je_cech,datum_zahajeni,rok_maturity,maturita_nastup_rozdil,gymnazium,praha,scio,olym,zkouska,prominuti,dostudoval_uspesne,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP
1578106,0,0,2009,2007,2,0,2,0,0,0,0,1,2.0,1.5,1.5,2.0,2.0,2.0,3.0,2.0,1.5,1.0,,2.0,3.0,1.5,2.0,3.0,1.5,1.5,2.5,3.0
1584806,0,0,2009,2006,3,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
19374606,0,1,2021,2009,12,1,0,0,1,0,0,0,4.0,,4.0,4.0,,,,,,,,,,,,,,,,
4783406,0,1,2011,2009,2,1,0,0,0,0,0,0,4.0,3.0,1.5,4.0,2.5,2.5,,,4.0,4.0,,,,4.0,,,,,,
8396706,1,1,2013,2009,4,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
4047706,0,1,2010,2009,1,1,0,0,0,0,0,1,3.0,3.0,1.5,3.0,1.5,1.5,3.0,2.0,1.5,2.5,,2.5,2.0,2.5,2.5,2.5,2.0,1.5,1.5,2.5
4288906,0,1,2010,2010,0,1,0,1,0,0,0,0,4.0,4.0,1.5,2.5,1.5,1.0,4.0,,4.0,,,,,4.0,,,,,,
5497506,1,1,2011,2009,2,1,0,0,0,0,0,0,2.5,3.0,3.0,4.0,3.0,4.0,4.0,4.0,1.5,2.0,,4.0,4.0,2.0,,,,,,
9226106,0,1,2014,2009,5,1,0,0,0,0,0,0,1.5,1.5,1.0,2.5,2.0,1.5,4.0,2.5,4.0,2.0,,3.0,3.0,2.5,2.5,4.0,4.0,1.0,2.0,4.0
4792406,0,1,2011,2009,2,1,0,0,0,0,0,0,1.5,1.5,1.0,2.5,2.0,1.5,3.0,2.5,3.0,2.0,,4.0,3.0,2.5,2.5,4.0,4.0,1.0,2.0,
5504406,0,0,2011,2008,3,0,1,0,0,0,0,0,2.5,4.0,1.5,4.0,4.0,2.5,2.5,,4.0,3.0,,,,4.0,,,,,,
3772306,0,0,2010,2008,2,0,1,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
3762506,0,1,2010,2009,1,0,0,0,0,0,0,0,4.0,3.0,1.5,2.5,2.0,2.0,,,4.0,4.0,,,,4.0,,,,,,
5497006,0,1,2011,2009,2,1,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
4219506,0,1,2010,2010,0,1,0,1,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
4379006,0,1,2010,2010,0,1,0,1,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
6259406,0,1,2012,2009,3,1,0,0,0,0,0,0,4.0,2.5,4.0,4.0,2.5,4.0,4.0,,4.0,,,,,,,,,,,
1590906,0,1,2009,2009,0,1,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
5523206,0,1,2011,2009,2,1,1,0,0,0,0,0,4.0,2.5,2.5,4.0,3.0,3.0,4.0,,4.0,4.0,,,,4.0,,,,,,
3728706,0,1,2010,2009,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
5500506,0,1,2011,2009,2,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
5524406,1,1,2011,2009,2,1,1,0,0,0,0,0,3.0,2.5,1.0,4.0,1.5,2.5,4.0,3.0,4.0,3.0,,4.0,4.0,,4.0,4.0,,,,2.0
7819906,1,1,2013,2009,4,1,1,0,0,0,0,0,4.0,2.5,1.0,4.0,1.5,2.5,,,,,,4.0,,,,,,,,2.0
7810906,0,1,2013,2009,4,1,0,0,0,0,0,0,4.0,2.5,4.0,4.0,2.5,4.0,,,,,,,,,,,,,,
12375406,0,1,2015,2009,6,0,1,0,0,0,0,1,2.5,2.0,2.5,3.0,2.5,2.5,3.0,2.5,2.5,2.5,,3.0,3.0,3.0,2.5,2.5,2.0,1.0,2.0,2.0
8391106,0,1,2013,2009,4,0,1,0,0,0,0,0,2.5,2.0,2.5,3.0,2.5,3.0,3.0,2.5,2.5,2.5,,4.0,3.0,4.0,2.5,2.5,2.0,4.0,2.0,4.0
5712106,0,1,2011,2009,2,0,1,1,0,0,0,0,2.5,2.0,2.5,4.0,3.0,3.0,4.0,,2.5,2.5,,,,4.0,,,,,,
