studium_id,pohlavi_kod,je_cech,datum_zahajeni,rok_maturity,maturita_nastup_rozdil,gymnazium,praha,scio,olym,zkouska,prominuti,dostudoval_uspesne,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP
12375406,0,1,2015,2009,6,0,1,0,0,0,0,1,2.5,2.0,2.5,3.0,2.5,2.5,3.0,2.5,2.5,2.5,,3.0,3.0,3.0,2.5,2.5,2.0,1.0,2.0,2.0
11736906,0,1,2015,2009,6,1,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
12032306,0,1,2015,2007,8,0,1,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
15613006,0,1,2018,2009,9,1,1,0,0,0,0,0,1.0,2.5,1.0,2.5,1.5,2.0,1.5,1.5,1.0,3.0,1.5,2.5,2.0,2.5,1.5,2.5,1.5,,2.0,1.5
12948006,1,1,2016,2010,6,1,0,0,0,0,0,1,3.0,2.0,1.5,2.5,1.5,2.5,2.5,2.0,1.0,3.0,2.5,2.0,2.0,2.5,2.5,2.5,2.0,1.0,2.5,1.0
11703806,0,1,2015,2010,5,1,1,0,0,0,0,0,1.0,2.5,1.5,2.5,1.5,1.5,4.0,1.5,2.5,2.0,,2.5,2.0,2.5,2.5,3.0,2.0,2.5,2.0,1.0
12967806,0,1,2016,2010,6,0,0,0,0,0,0,1,1.0,2.5,1.0,2.0,2.0,3.0,1.0,2.5,1.0,2.5,1.0,2.0,2.0,1.0,2.5,1.0,2.0,1.0,2.5,2.5
11738606,0,0,2015,2010,5,0,-1,0,0,0,0,0,1.0,1.0,1.0,4.0,2.0,4.0,,2.0,1.0,2.5,,4.0,2.5,2.0,,,,,1.5,
11719706,0,1,2015,2010,5,0,0,0,0,0,0,1,1.0,2.5,1.5,2.0,2.5,2.0,3.0,2.0,1.0,3.0,,2.5,2.5,1.5,2.5,3.0,2.5,1.5,2.0,1.0
11675306,0,0,2015,2010,5,0,-1,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
11743906,0,1,2015,2010,5,1,0,0,0,0,0,0,2.5,2.5,1.0,1.5,2.5,4.0,2.5,2.0,2.5,,,2.0,4.0,,2.5,,,,2.0,1.5
12987806,0,1,2016,2010,6,1,0,0,0,0,0,0,2.5,2.5,1.0,1.5,3.0,3.0,2.5,2.0,1.0,4.0,4.0,2.0,3.0,3.0,2.5,4.0,4.0,,2.0,1.5
13016006,0,1,2016,2010,6,1,0,0,0,0,0,1,1.0,3.0,1.0,3.0,1.5,2.5,2.0,2.5,1.0,2.5,,1.5,3.0,2.0,2.0,2.5,3.0,2.0,2.0,1.5
12036006,0,1,2015,2010,5,1,1,0,0,0,0,0,2.5,4.0,1.0,4.0,2.5,4.0,,4.0,1.0,,,,4.0,,,,,,,
13512306,0,1,2016,2011,5,0,1,0,0,0,0,0,4.0,2.0,1.5,1.5,2.0,2.5,3.0,2.0,1.5,,,2.5,2.5,,,2.5,4.0,4.0,2.5,
11678106,0,1,2015,2010,5,0,1,0,0,0,0,0,1.5,1.5,1.5,1.5,2.5,2.5,,2.5,2.5,,,3.0,2.5,,,,4.0,2.0,1.5,
12987706,0,1,2016,2010,6,0,1,0,0,0,0,0,1.5,1.5,1.5,1.5,2.5,2.5,3.0,2.5,2.5,,,4.0,2.5,,,,4.0,2.0,1.5,
13518506,0,1,2016,2011,5,0,0,0,0,0,0,1,1.5,2.0,1.0,2.0,2.0,2.5,3.0,2.5,1.5,2.5,,2.5,3.0,2.0,2.0,2.5,2.0,2.5,2.5,1.5
