studium_id,pohlavi_kod,je_cech,datum_zahajeni,rok_maturity,maturita_nastup_rozdil,gymnazium,praha,scio,olym,zkouska,prominuti,dostudoval_uspesne,MI-PAA,MI-MPI,MI-PDP.16,MI-SPI.16
9249706,0,1,2014,2014,0,-1,0,0,0,0,0,0,,4.0,,
9236906,1,1,2014,2014,0,-1,0,0,0,0,0,1,2.5,2.5,,
8333406,1,1,2013,2013,0,-1,0,0,0,0,0,0,,4.0,,
9248206,0,1,2014,2014,0,-1,0,0,0,0,0,0,2.5,3.0,,
13027706,0,1,2016,2015,1,-1,0,0,0,0,0,0,2.5,2.5,,4.0
14794806,0,1,2017,2017,0,-1,1,0,0,0,0,1,3.0,3.0,2.0,2.5
6854606,0,1,2012,2012,0,-1,1,0,0,0,0,1,1.5,2.5,,
6805806,0,1,2012,2012,0,-1,0,0,0,0,0,1,1.5,1.5,,
6806006,0,1,2012,2012,0,-1,1,0,0,0,0,1,2.5,2.0,,
6806106,0,1,2012,2012,0,-1,0,0,0,0,0,1,2.0,2.0,,
6806206,0,1,2012,2012,0,-1,0,0,0,0,0,1,3.0,2.5,,
6806406,0,1,2012,2012,0,-1,0,0,0,0,0,1,2.0,2.5,,
6806506,0,1,2012,2012,0,-1,0,0,0,0,0,1,1.5,2.5,,
6440406,0,1,2012,2012,0,-1,0,0,0,0,0,0,,,,
6396706,0,1,2012,2012,0,-1,0,0,0,0,0,0,4.0,4.0,,
11644206,0,1,2015,2014,1,-1,0,0,0,0,0,0,4.0,4.0,,
6854706,0,1,2012,2012,0,-1,1,0,0,0,0,1,1.0,2.0,,
6956706,1,0,2012,2012,0,-1,-1,0,0,0,0,1,2.0,2.0,,
6806906,0,1,2012,2012,0,-1,0,0,0,0,0,1,1.5,3.0,,
8331106,0,1,2013,2013,0,-1,0,0,0,0,0,0,,4.0,,
6807706,0,1,2012,2012,0,-1,0,0,0,0,0,1,2.5,2.5,,
6396806,0,1,2012,2012,0,-1,0,0,0,0,0,1,2.0,3.0,,
6808306,0,0,2012,2012,0,-1,-1,0,0,0,0,1,2.0,1.5,,
6808606,0,1,2012,2012,0,-1,0,0,0,0,0,1,2.0,2.0,,
6810106,0,1,2012,2012,0,-1,0,0,0,0,0,1,2.0,3.0,,
6957006,0,1,2012,2012,0,-1,1,0,0,0,0,1,2.0,2.5,,
6810406,0,1,2012,2012,0,-1,0,0,0,0,0,1,1.5,1.5,,
8345006,0,1,2013,2013,0,-1,1,0,0,0,0,1,1.5,2.0,,
8345406,0,1,2013,2013,0,-1,1,0,0,0,0,1,2.0,2.5,,
8341906,0,1,2013,2013,0,-1,0,0,0,0,0,0,,4.0,,
9237706,0,1,2014,2014,0,-1,0,0,0,0,0,1,2.0,3.0,,
6811206,1,1,2012,2012,0,-1,0,0,0,0,0,1,1.5,2.5,,
6811406,0,1,2012,2012,0,-1,1,0,0,0,0,1,2.0,1.5,,
6811606,0,1,2012,2012,0,-1,1,0,0,0,0,0,2.0,3.0,,
9979506,0,1,2014,2014,0,-1,0,0,0,0,0,1,2.5,3.0,,
6811906,0,1,2012,2012,0,-1,0,0,0,0,0,1,2.0,2.0,,
6812006,0,1,2012,2012,0,-1,0,0,0,0,0,1,2.0,3.0,,
6812106,0,1,2012,2012,0,-1,0,0,0,0,0,1,2.0,2.5,,
6430406,0,0,2012,2012,0,-1,-1,0,0,0,0,1,2.0,1.0,,
6812606,0,1,2012,2012,0,-1,0,0,0,0,0,1,2.0,2.0,,
6812806,0,1,2012,2012,0,-1,1,0,0,0,0,1,2.5,3.0,,
6812906,0,1,2012,2012,0,-1,0,0,0,0,0,1,1.0,1.0,,
12234106,0,1,2015,2014,1,-1,1,0,0,0,0,0,2.0,2.5,,
6813006,0,1,2012,2012,0,-1,1,0,0,0,0,0,,2.5,,
6813306,0,1,2012,2012,0,-1,0,0,0,0,0,1,2.0,3.0,,
6813706,0,1,2012,2012,0,-1,0,0,0,0,0,1,1.5,2.5,,
6855006,0,1,2012,2012,0,-1,0,0,0,0,0,1,2.0,2.5,,
6814206,0,1,2012,2012,0,-1,1,0,0,0,0,1,2.0,2.0,,
13500006,0,1,2016,2015,1,-1,1,0,0,0,0,0,4.0,4.0,,
6814306,0,1,2012,2012,0,-1,1,0,0,0,0,0,4.0,2.5,,
11651606,0,1,2015,2014,1,-1,1,0,0,0,0,0,4.0,2.5,,
6814606,0,1,2012,2012,0,-1,1,0,0,0,0,1,2.5,3.0,,
6392906,0,1,2012,2012,0,-1,1,0,0,0,0,1,2.5,2.5,,
6815006,0,1,2012,2012,0,-1,0,0,0,0,0,1,1.5,3.0,,
6855106,0,1,2012,2012,0,-1,1,0,0,0,0,1,2.0,3.0,,
8327306,0,1,2013,2013,0,-1,0,0,0,0,0,1,1.5,3.0,,
8333006,0,0,2013,2013,0,-1,-1,0,0,0,0,0,,4.0,,
6815406,0,0,2012,2012,0,-1,-1,0,0,0,0,0,,4.0,,
6815506,0,1,2012,2012,0,-1,0,0,0,0,0,0,,3.0,,
