studium_id,pohlavi_kod,je_cech,datum_zahajeni,rok_maturity,maturita_nastup_rozdil,gymnazium,praha,scio,olym,zkouska,prominuti,dostudoval_uspesne,MI-PAA,MI-MPI,MI-PDP.16,MI-SPI.16
13027706,0,1,2016,2015,1,-1,0,0,0,0,0,0,2.5,2.5,,4.0
14794806,0,1,2017,2017,0,-1,1,0,0,0,0,1,3.0,3.0,2.0,2.5
13500006,0,1,2016,2015,1,-1,1,0,0,0,0,0,4.0,4.0,,
13020006,0,1,2016,2015,1,-1,0,0,0,0,0,1,2.5,2.5,2.0,2.5
13035206,1,0,2016,2015,1,-1,-1,0,0,0,0,1,2.5,2.5,,3.0
13030006,0,0,2016,2015,1,-1,-1,0,0,0,0,1,2.0,2.5,1.5,3.0
17885906,0,1,2020,2020,0,0,0,0,1,0,0,0,,1.5,,
13501106,0,1,2016,2015,1,-1,0,0,0,0,0,1,2.5,2.5,,3.0
13017206,0,1,2016,2015,1,-1,0,0,0,0,0,1,2.0,3.0,1.5,2.5
17893406,0,1,2020,2020,0,0,0,0,1,0,0,0,,,,
13030106,0,1,2016,2015,1,-1,0,0,0,0,0,1,1.5,2.5,2.0,3.0
13034806,0,1,2016,2015,1,-1,0,0,0,0,0,0,2.0,4.0,,
13029206,0,1,2016,2015,1,-1,0,0,0,0,0,0,1.0,2.0,4.0,2.0
17205706,0,1,2019,2019,0,-1,0,0,0,0,0,1,1.0,2.0,2.0,2.0
16197906,0,1,2018,2017,1,-1,0,0,0,0,0,0,1.0,2.0,,2.0
13033006,0,1,2016,2015,1,-1,0,0,0,0,0,1,2.0,3.0,2.0,2.5
17205606,0,1,2019,2019,0,-1,0,0,0,0,0,0,2.0,2.0,2.5,2.5
13034706,0,0,2016,2015,1,-1,1,0,0,0,0,0,4.0,2.5,,
15644706,0,0,2018,2017,1,-1,1,0,0,0,0,0,4.0,2.5,,
16698506,0,0,2019,2019,0,-1,1,0,0,0,0,0,4.0,2.5,,
13032306,0,1,2016,2015,1,-1,0,0,0,0,0,1,3.0,2.5,2.0,3.0
13500506,0,1,2016,2015,1,-1,1,0,0,0,0,0,2.0,2.0,,
