studium_id,dokoncil_semestr,BI-PA1_znamka,BI-PA1_poradi_zapisu,BI-PAI_znamka,BI-PAI_poradi_zapisu,BI-CAO_znamka,BI-CAO_poradi_zapisu,BI-PS1_znamka,BI-PS1_poradi_zapisu,BI-MLO_znamka,BI-MLO_poradi_zapisu,BI-ZMA_znamka,BI-ZMA_poradi_zapisu,pocet_kreditu_semestr_1
14267106,1.0,1.5,1.0,1.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,-1.0,-1.0,24.0
15613006,1.0,1.0,1.0,2.5,1.0,1.0,1.0,4.0,1.0,1.5,1.0,2.0,1.0,16.0
12948006,1.0,3.0,1.0,2.0,1.0,1.5,1.0,2.5,1.0,1.5,1.0,2.5,1.0,30.0
12967806,1.0,1.0,1.0,2.5,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,30.0
13016006,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.5,1.0,2.5,1.0,25.0
11727206,1.0,1.0,1.0,2.5,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,18.0
11744706,1.0,4.0,1.0,2.5,1.0,2.5,1.0,4.0,1.0,2.5,1.0,3.0,1.0,15.0
12973406,1.0,2.5,1.0,2.5,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.5,1.0,30.0
12035506,1.0,2.0,1.0,2.5,1.0,2.5,1.0,2.0,1.0,2.0,1.0,4.0,1.0,19.0
12964406,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.5,1.0,2.5,1.0,3.0,1.0,30.0
11712706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,1.5,1.0,2.0,1.0,28.0
11735606,0.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.5,1.0,4.0,1.0,20.0
13519806,1.0,2.5,1.0,1.5,1.0,1.5,1.0,2.5,1.0,2.5,1.0,3.0,1.0,20.0
11686106,1.0,2.5,1.0,2.5,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,34.0
13013306,1.0,1.5,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,2.0,1.0,27.0
11676006,0.0,2.5,1.0,2.5,1.0,2.5,1.0,2.0,1.0,1.5,1.0,2.5,1.0,15.0
12033706,1.0,1.5,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.5,1.0,2.5,1.0,21.0
12964506,1.0,2.0,1.0,2.0,1.0,1.5,1.0,2.5,1.0,2.0,1.0,4.0,1.0,17.0
16724706,0.0,2.5,1.0,1.5,1.0,1.0,1.0,2.5,1.0,2.0,1.0,4.0,1.0,15.0
12954706,1.0,2.5,1.0,3.0,1.0,2.5,1.0,2.0,1.0,2.5,1.0,2.5,1.0,21.0
12959206,0.0,1.5,1.0,2.5,1.0,1.0,1.0,2.5,1.0,2.5,1.0,1.5,1.0,15.0
11685906,1.0,1.0,1.0,2.5,1.0,1.0,1.0,2.0,1.0,2.5,1.0,2.0,1.0,22.0
11699606,1.0,2.5,1.0,2.0,1.0,2.5,1.0,2.0,1.0,1.5,1.0,2.0,1.0,27.0
11693106,0.0,2.5,1.0,3.0,1.0,1.0,1.0,2.5,1.0,2.0,1.0,4.0,1.0,16.0
12987106,1.0,2.0,1.0,2.5,1.0,2.5,1.0,2.0,1.0,2.0,1.0,2.5,1.0,22.0
11746506,1.0,1.5,1.0,2.0,1.0,2.0,1.0,2.5,1.0,2.5,1.0,2.5,1.0,18.0
14247106,1.0,1.5,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.5,1.0,3.0,1.0,15.0
11700606,1.0,2.0,1.0,2.5,1.0,1.0,1.0,2.5,1.0,2.0,1.0,1.5,1.0,23.0
11696206,0.0,2.5,1.0,3.0,1.0,2.5,1.0,2.5,1.0,1.0,1.0,2.5,1.0,18.0
11689306,0.0,2.5,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.5,1.0,4.0,1.0,15.0
11737206,1.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,2.5,1.0,19.0
11674506,1.0,3.0,1.0,3.0,1.0,1.5,1.0,2.5,1.0,2.5,1.0,1.5,1.0,21.0
17333306,1.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.5,1.0,19.0
11739206,1.0,2.0,1.0,2.5,1.0,1.5,1.0,4.0,1.0,1.5,1.0,1.0,1.0,25.0
11710006,0.0,4.0,1.0,2.5,1.0,1.5,1.0,4.0,1.0,2.5,1.0,2.5,1.0,19.0
11698306,1.0,2.0,1.0,3.0,1.0,1.5,1.0,2.0,1.0,2.0,1.0,4.0,1.0,27.0
11712506,1.0,2.5,1.0,2.0,1.0,1.5,1.0,2.0,1.0,2.5,1.0,2.0,1.0,21.0
11726106,1.0,2.0,1.0,2.5,1.0,1.0,1.0,1.0,1.0,1.5,1.0,4.0,1.0,24.0
13013106,0.0,4.0,1.0,1.5,1.0,1.0,1.0,3.0,1.0,4.0,1.0,2.5,1.0,19.0
14811406,1.0,1.5,2.0,1.5,1.0,2.5,1.0,1.0,1.0,2.5,1.0,4.0,1.0,24.0
11714506,1.0,4.0,1.0,2.5,1.0,1.5,1.0,3.0,1.0,2.5,1.0,2.0,1.0,21.0
11689506,0.0,4.0,1.0,3.0,1.0,1.5,1.0,3.0,1.0,2.5,1.0,2.5,1.0,18.0
11709806,1.0,2.5,1.0,2.5,1.0,1.5,1.0,2.5,1.0,3.0,1.0,2.5,1.0,20.0
11701706,1.0,2.5,1.0,3.0,1.0,1.5,1.0,2.5,1.0,2.5,1.0,3.0,1.0,37.0
14246906,1.0,2.5,1.0,2.5,1.0,1.5,1.0,2.5,1.0,2.5,1.0,4.0,1.0,38.0
11740406,1.0,2.5,1.0,3.0,1.0,1.5,1.0,2.5,1.0,4.0,1.0,2.0,1.0,19.0
12991006,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,25.0
11727606,1.0,2.0,1.0,3.0,1.0,1.5,1.0,4.0,1.0,2.5,1.0,2.0,1.0,30.0
11697206,1.0,1.5,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.5,1.0,29.0
17923906,0.0,1.5,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,20.0
11713806,1.0,1.5,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,30.0
