studium_id,dokoncil_semestr,BI-PA1_znamka,BI-PA1_poradi_zapisu,BI-PAI_znamka,BI-PAI_poradi_zapisu,BI-CAO_znamka,BI-CAO_poradi_zapisu,BI-PS1_znamka,BI-PS1_poradi_zapisu,BI-MLO_znamka,BI-MLO_poradi_zapisu,BI-ZMA_znamka,BI-ZMA_poradi_zapisu,pocet_kreditu_semestr_1,BI-PA2_znamka,BI-PA2_poradi_zapisu,BI-DBS_znamka,BI-DBS_poradi_zapisu,BI-SAP_znamka,BI-SAP_poradi_zapisu,BI-LIN_znamka,BI-LIN_poradi_zapisu,pocet_kreditu_semestr_2,BI-AAG_znamka,BI-AAG_poradi_zapisu,BI-ZDM_znamka,BI-ZDM_poradi_zapisu,BI-AG1_znamka,BI-AG1_poradi_zapisu,pocet_kreditu_semestr_3
14267106,1.0,1.5,1.0,1.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,24.0,1.5,1.0,1.5,1.0,1.0,1.0,-1.0,-1.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0
15613006,0.0,1.0,1.0,2.5,1.0,1.0,1.0,2.5,2.0,1.5,1.0,2.0,1.0,16.0,1.5,1.0,1.5,1.0,1.0,1.0,3.0,1.0,17.0,2.5,1.0,2.0,1.0,-1.0,-1.0,14.0
12948006,1.0,3.0,1.0,2.0,1.0,1.5,1.0,2.5,1.0,1.5,1.0,2.5,1.0,30.0,2.5,1.0,2.0,1.0,1.0,1.0,3.0,1.0,34.0,2.0,1.0,2.0,1.0,2.5,1.0,35.0
12967806,0.0,1.0,1.0,2.5,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,30.0,4.0,1.0,2.5,1.0,1.0,1.0,2.5,1.0,21.0,2.0,1.0,2.0,1.0,1.0,1.0,14.0
13016006,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.5,1.0,2.5,1.0,25.0,2.0,1.0,2.5,1.0,4.0,1.0,2.5,1.0,17.0,1.5,1.0,3.0,2.0,-1.0,-1.0,20.0
11727206,0.0,1.0,1.0,2.5,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,18.0,1.0,1.0,2.0,1.0,1.5,1.0,2.5,1.0,22.0,2.5,1.0,-1.0,-1.0,-1.0,-1.0,0.0
12973406,1.0,2.5,1.0,2.5,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.5,1.0,30.0,4.0,1.0,2.5,1.0,1.0,1.0,2.5,1.0,19.0,2.0,1.0,2.5,1.0,2.0,1.0,26.0
12964406,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.5,1.0,2.5,1.0,3.0,1.0,30.0,4.0,1.0,2.5,1.0,1.0,1.0,4.0,1.0,16.0,3.0,1.0,2.0,1.0,4.0,1.0,22.0
11712706,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,1.5,1.0,2.0,1.0,28.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0
11686106,0.0,2.5,1.0,2.5,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,34.0,2.5,1.0,1.5,1.0,2.0,1.0,2.5,1.0,31.0,2.0,1.0,2.0,1.0,-1.0,-1.0,0.0
13013306,1.0,1.5,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,2.0,1.0,27.0,1.0,1.0,2.0,1.0,1.0,1.0,2.5,1.0,30.0,1.0,1.0,2.5,1.0,1.0,1.0,31.0
12033706,0.0,1.5,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.5,1.0,2.5,1.0,21.0,1.5,1.0,-1.0,-1.0,1.0,1.0,2.5,1.0,16.0,2.0,2.0,2.5,1.0,-1.0,-1.0,0.0
12964506,0.0,2.0,1.0,2.0,1.0,1.5,1.0,2.5,1.0,2.0,1.0,4.0,2.0,17.0,4.0,1.0,-1.0,-1.0,1.5,1.0,4.0,1.0,13.0,-1.0,-1.0,4.0,1.0,4.0,1.0,8.0
12954706,0.0,2.5,1.0,3.0,1.0,2.5,1.0,2.0,1.0,2.5,1.0,2.5,1.0,21.0,4.0,1.0,2.0,1.0,1.5,1.0,4.0,1.0,11.0,-1.0,-1.0,4.0,2.0,4.0,2.0,0.0
11685906,1.0,1.0,1.0,2.5,1.0,1.0,1.0,2.0,1.0,2.5,1.0,2.0,1.0,22.0,2.0,1.0,2.5,2.0,3.0,1.0,4.0,1.0,35.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.0
11699606,0.0,2.5,1.0,2.0,1.0,2.5,1.0,2.0,1.0,1.5,1.0,2.0,1.0,27.0,4.0,1.0,2.5,1.0,2.0,1.0,4.0,1.0,5.0,2.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0
12987106,0.0,2.0,1.0,2.5,1.0,2.5,1.0,2.0,1.0,2.0,1.0,2.5,1.0,22.0,2.5,1.0,-1.0,-1.0,1.0,1.0,2.0,2.0,20.0,2.0,1.0,2.5,1.0,-1.0,-1.0,0.0
11746506,1.0,1.5,1.0,2.0,1.0,2.0,1.0,2.5,1.0,2.5,1.0,2.5,1.0,18.0,2.5,1.0,2.0,1.0,2.5,1.0,2.5,1.0,31.0,2.5,2.0,2.5,1.0,-1.0,-1.0,29.0
14247106,0.0,1.5,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.5,1.0,3.0,1.0,15.0,2.0,1.0,2.0,1.0,1.5,1.0,3.0,1.0,16.0,2.5,1.0,3.0,2.0,3.0,1.0,12.0
11700606,1.0,2.0,1.0,2.5,1.0,1.0,1.0,2.5,1.0,2.0,1.0,1.5,1.0,23.0,4.0,1.0,2.5,1.0,1.0,1.0,2.5,1.0,18.0,2.5,1.0,2.5,1.0,4.0,1.0,17.0
11737206,1.0,1.5,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.5,1.0,19.0,4.0,1.0,2.0,1.0,2.5,1.0,2.5,1.0,24.0,3.0,1.0,2.5,1.0,4.0,1.0,28.0
11674506,1.0,3.0,1.0,3.0,1.0,1.5,1.0,2.5,1.0,2.5,1.0,1.5,1.0,21.0,2.5,1.0,1.5,1.0,1.5,1.0,2.5,1.0,26.0,2.5,1.0,2.0,1.0,4.0,1.0,19.0
17333306,1.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.5,1.0,19.0,-1.0,-1.0,1.0,1.0,2.5,1.0,2.0,1.0,14.0,4.0,1.0,1.5,1.0,4.0,1.0,16.0
