studium_id,typ_programu,forma_studia,datum_zahajeni,datum_ukonceni,rocnik,studijni_stav,studuje,jazyk_vyuky,ukonceni_zpusob,rok_maturity,odkud_skola_kod
19251606,B,,2021,0,0.0,1,S,CS,,2017,0
20161006,B,,2022,0,0.0,1,S,CS,,2010,0
20308606,B,,2022,0,0.0,1,S,CS,,2017,0
20317906,B,,2022,0,0.0,1,S,CS,,0,0
19683106,B,,2021,0,0.0,1,S,CS,,0,0
20299906,B,,2022,0,0.0,1,S,CS,,2018,0
20308506,B,,2022,0,0.0,1,S,CS,,2012,0
20291906,B,,2022,0,0.0,1,S,CS,,2019,0
20308006,B,,2022,0,0.0,1,S,CS,,2019,0
20302106,B,,2022,0,0.0,1,S,CS,,2018,0
20302006,B,,2022,0,0.0,1,S,CS,,2013,0
20301906,B,,2022,0,0.0,1,S,CS,,2012,0
19473306,B,,2021,0,0.0,1,S,CS,,2006,0
20252806,B,,2022,0,0.0,1,S,CS,,2016,0
20244106,B,,2022,0,0.0,1,S,CS,,0,0
20250206,B,,2022,0,0.0,1,S,CS,,2011,0
20236006,B,,2022,0,0.0,1,S,CS,,0,0
20248406,B,,2022,0,0.0,1,S,CS,,0,0
19681906,B,,2021,0,0.0,1,S,CS,,2019,0
20250006,B,,2022,0,0.0,1,S,CS,,2010,0
20157006,B,,2022,0,0.0,1,S,CS,,0,0
19681406,B,,2021,0,0.0,1,S,CS,,2015,0
19402406,B,,2021,0,0.0,1,S,CS,,2016,0
19725606,B,,2021,0,0.0,1,S,CS,,2008,0
20278006,B,,2022,0,0.0,1,S,CS,,2015,0
20274006,B,,2022,0,0.0,1,S,CS,,0,0
20268206,B,,2022,0,0.0,1,S,CS,,2011,0
20266106,B,,2022,0,0.0,1,S,CS,,2019,0
20264106,B,,2022,0,0.0,1,S,CS,,0,0
20264006,B,,2022,0,0.0,1,S,CS,,2020,0
20220006,B,,2022,0,0.0,1,S,CS,,2004,0
19967806,B,,2021,0,0.0,1,S,CS,,1991,0
19738306,B,,2021,0,0.0,1,S,CS,,1997,0
19725306,B,,2021,0,0.0,1,S,CS,,2014,0
19568206,B,,2021,0,0.0,1,S,CS,,2016,0
19725406,B,,2021,0,0.0,1,S,CS,,2016,0
19297506,B,,2021,0,0.0,1,S,CS,,2005,0
19725106,B,,2021,0,0.0,1,S,CS,,2012,0
19568106,B,,2021,0,0.0,1,S,CS,,0,0
20238406,B,,2022,0,0.0,1,S,CS,,2019,0
20238106,B,,2022,0,0.0,1,S,CS,,2020,0
20232606,B,,2022,0,0.0,1,S,CS,,2002,0
20232506,B,,2022,0,0.0,1,S,CS,,0,0
20232406,B,,2022,0,0.0,1,S,CS,,2019,0
20232306,B,,2022,0,0.0,1,S,CS,,2017,0
20232206,B,,2022,0,0.0,1,S,CS,,0,0
20232006,B,,2022,0,0.0,1,S,CS,,0,0
20252706,B,,2022,0,0.0,1,S,CS,,2019,0
20252606,B,,2022,0,0.0,1,S,CS,,2020,0
20252306,B,,2022,0,0.0,1,S,CS,,2020,0
20252206,B,,2022,0,0.0,1,S,CS,,2019,0
20252106,B,,2022,0,0.0,1,S,CS,,2020,0
20252006,B,,2022,0,0.0,1,S,CS,,2018,0
20252406,B,,2022,0,0.0,1,S,CS,,2020,0
20253206,B,,2022,0,0.0,1,S,CS,,2020,0
20253106,B,,2022,0,0.0,1,S,CS,,2018,0
20252906,B,,2022,0,0.0,1,S,CS,,2019,0
20244206,B,,2022,0,0.0,1,S,CS,,2018,0
20244006,B,,2022,0,0.0,1,S,CS,,2017,0
20242506,B,,2022,0,0.0,1,S,CS,,2018,0
20239906,B,,2022,0,0.0,1,S,CS,,2020,0
20242406,B,,2022,0,0.0,1,S,CS,,2011,0
20242306,B,,2022,0,0.0,1,S,CS,,0,0
20242206,B,,2022,0,0.0,1,S,CS,,2014,0
20235906,B,,2022,0,0.0,1,S,CS,,2018,0
20231906,B,,2022,0,0.0,1,S,CS,,0,0
20250106,B,,2022,0,0.0,1,S,CS,,2018,0
20249906,B,,2022,0,0.0,1,S,CS,,2017,0
20250506,B,,2022,0,0.0,1,S,CS,,2019,0
17591906,B,,2020,2020,0.0,38,K,CS,9.0,0,0
19681706,B,,2021,0,1.0,1,S,CS,,0,0
17401706,B,,2019,2020,0.0,38,K,CS,9.0,2013,0
18150606,B,,2020,2021,0.0,38,K,CS,9.0,0,0
18393206,B,,2020,2021,0.0,38,K,CS,9.0,2010,0
17593306,B,,2020,2020,0.0,38,K,CS,9.0,2004,0
17077006,B,,2019,2020,0.0,38,K,CS,9.0,2014,0
