"statni_zkouska_id";"zaverecna_prace_id";"studium_id";"cislo_terminu";"typ_szzk";"uzavreno";"datum_prihlaseni";"datum_absolvovani";"celkove_hodnoceni";"poznamka"
"349636284905";"349636284805";"1565606";"1";"SZZ";"";"";"2012-08-30";"1.5";""
"330048724605";"330046400705";"1565706";"1";"SZZ";"";"";"2012-06-22";"2";""
"438372649605";"438372649505";"1565806";"1";"SZZ";"";"";"";"";""
"422187805805";"422187805705";"1565906";"1";"SZZ";"";"";"";"";""
"426401270005";"426401269905";"1566506";"1";"SZZ";"";"";"2013-06-20";"2";""
"346997147605";"324081147205";"1566606";"1";"SZZ";"";"";"2012-06-22";"1.5";""
"443015078505";"443011927605";"1566906";"1";"SZZ";"";"";"2014-02-05";"1.5";""
"324885815005";"324884523805";"1567106";"1";"SZZ";"";"";"2012-06-22";"1";""
"349636336305";"349636336105";"1567206";"1";"SZZ";"";"";"2012-06-21";"1.5";""
"345096998405";"345096998305";"1567506";"1";"SZZ";"";"";"2012-06-25";"1.5";""
"330046413805";"330046413705";"1567706";"1";"SZZ";"";"";"2012-06-21";"1.5";""
"345097000005";"345096999905";"1567906";"1";"SZZ";"";"";"2012-06-22";"2.5";""
"354941272005";"354941271905";"1568006";"1";"SZZ";"";"";"2012-06-21";"1.5";""
"343438790905";"343438790805";"1568506";"1";"SZZ";"";"";"2012-06-25";"2.5";""
"346757543605";"346757543505";"1568606";"1";"SZZ";"";"";"2012-06-25";"1";""
"415677911605";"332984885905";"1568706";"1";"SZZ";"";"";"";"";""
"348190770805";"348190770705";"1569006";"1";"SZZ";"";"";"2012-08-30";"2";""
"349636345805";"349636345705";"1569106";"1";"SZZ";"";"";"2012-06-22";"2.5";""
"332497938205";"252800891305";"1569206";"1";"SZZ";"";"";"2012-06-21";"1.5";""
"346044113305";"346044113205";"1569506";"1";"SZZ";"";"";"2012-06-21";"1.5";""
"332497938305";"307763676305";"1569906";"1";"SZZ";"";"";"2012-06-21";"2.5";""
"421162369605";"421162369505";"1570206";"1";"SZZ";"";"";"2013-06-25";"2.5";""
"346757551805";"346757551705";"1570406";"1";"SZZ";"";"";"2012-06-25";"1.5";""
"346519802205";"346519802105";"1570906";"1";"SZZ";"";"";"2012-06-25";"3";""
"330046418405";"330046418305";"1571006";"1";"SZZ";"";"";"2012-06-22";"1";""
"345097003405";"345097003305";"1571106";"1";"SZZ";"";"";"2012-06-22";"2";""
"331763893805";"330046466105";"1571306";"1";"SZZ";"";"";"2012-06-22";"2";""
"421576193805";"421163946605";"1571706";"1";"SZZ";"";"";"";"";""
"348673642005";"333463189105";"1571906";"1";"SZZ";"";"";"2013-06-19";"1.5";""
"349636352605";"349636352505";"1572206";"1";"SZZ";"";"";"2012-06-22";"2";""
"346519331905";"346519331805";"1573706";"1";"SZZ";"";"";"2012-06-21";"2";""
"335988957405";"335988957305";"1573806";"1";"SZZ";"";"";"2012-06-25";"1.5";""
"347236047005";"347236046905";"1574006";"1";"SZZ";"";"";"2012-08-30";"1.5";""
"334192965605";"334192965505";"1574206";"1";"SZZ";"";"";"2013-06-19";"2";""
"337812552805";"205990759905";"1574506";"1";"SZZ";"";"";"2012-06-25";"2";""
"346758328005";"346758327905";"1574606";"1";"SZZ";"";"";"2013-06-21";"2";""
"419656456405";"419656456305";"1574706";"1";"SZZ";"";"";"2013-06-24";"1.5";""
"328577791905";"";"1574806";"1";"SZZ";"";"";"";"";""
"346280501605";"346280501505";"1575106";"1";"SZZ";"";"";"2012-06-21";"1.5";""
"423034781205";"423034781105";"1575206";"1";"SZZ";"";"";"2013-06-20";"2";""
"345096472805";"333463189705";"1575406";"1";"SZZ";"";"";"";"4";""
"345097011105";"345097011005";"1576306";"1";"SZZ";"A";"";"2012-06-21";"1.5";""
"379353571405";"332984437805";"1576606";"1";"SZZ";"";"";"2012-06-21";"1";""
"345096576705";"345096576605";"1576706";"1";"SZZ";"";"";"2012-06-21";"1.5";""
"335317496005";"306803160505";"1577506";"1";"SZZ";"";"";"2012-06-25";"2";""
"345101600105";"345101600005";"1578106";"1";"SZZ";"";"";"2013-06-19";"2";""
"426401294805";"426401294705";"1578206";"1";"SZZ";"";"";"2013-06-24";"1";""
"425792398005";"425792397905";"1578406";"1";"SZZ";"";"";"2013-08-26";"1.5";""
"345096547105";"345096547005";"1578606";"1";"SZZ";"";"";"2012-06-21";"1.5";""
"348671489105";"348671489005";"1579106";"1";"SZZ";"";"";"2012-06-25";"2.5";""
"336658697105";"336658572305";"1579306";"1";"SZZ";"";"";"2012-06-21";"1.5";""
"335540343305";"335540343205";"1580106";"1";"SZZ";"";"";"2012-06-22";"2";""
"343438810905";"343438810805";"1580206";"1";"SZZ";"";"";"2012-06-25";"2";""
