"predmet_id";"kod_predmetu";"nazev_predmetu";"pocet_kreditu";"typ_predmetu";"forma_studia";"uroven_studia";"zpusob_zakonceni";"jazyk_vyuky"
"1383306";"BI-ZTK";"Tělovýchovný kurz zimní";"0";"P";"P";"B";"Z";"CS"
"1383406";"BI-LTK";"Tělovýchovný kurz letní";"0";"P";"P";"B";"Z";"CS"
"1451306";"BI-LTK2";"Tělovýchovný kurz letní II";"0";"V";"P";"B";"Z";"CS"
"1451406";"BI-ZTK2";"Tělovýchovný kurz zimní II";"0";"V";"P";"B";"Z";"CS"
"1451706";"BI-TV4";"Tělesná výchova IV";"0";"V";"P";"B";"Z";"CS"
"3469106";"BIK-ANG";"Angličtina, externí certifikát";"2";"P;";"K";"B;";"Z";"CS"
"1451506";"BI-TV3";"Tělesná výchova III";"0";"V";"P";"B";"Z";"CS"
"1750806";"U3V";"Fiktivní předmět - rezervace rozvhu pro Univerzitu 3. věku";"0";"V";"";"";"NIC";""
"5409506";"FI-HPZ";"Humanitní předmět z výjezdu v zahraničí";"3";"PV;";"";"B;M;";"Z";""
"4417206";"PI-AJMIN";"Anglický jazyk - obhajoba odborné studie";"0";"P;";"";"D;";"ZK";"EN"
"1254806";"BI-TV2";"Tělesná výchova II";"0";"P";"P";"B";"Z";"CS"
"1254706";"BI-TV1";"Tělesná výchova I";"0";"P";"P";"B";"Z";"CS"
"3101206";"BI-SV";"Španělský jazyk";"2";"P;";"P";"B;";"ZK";""
"3468406";"BIE-ZMA.1";"Elements of Calculus";"6";"";"";"";"Z,ZK";""
"3472506";"BIK-ZMA.1";"Základy matematické analýzy";"6";"";"";"";"Z,ZK";""
"3458806";"BI-BIG.1";"DB technologie pro Big Data";"4";"";"";"";"KZ";""
"3463106";"BI-VOL";"Volitelný předmět";"4";"";"";"";"Z,ZK";""
"3463306";"BI-VZD.1";"Vytěžování znalostí z dat";"4";"";"";"";"Z,ZK";""
"3462406";"BI-SRC.1";"Systémy reálného času";"4";"";"";"";"KZ";""
"3459706";"BI-JPO.1";"Jednotky počítače";"5";"";"";"";"Z,ZK";""
"3466606";"BIE-PS1.1";"Programming in Shell 1";"5";"";"";"";"KZ";""
"3467206";"BIE-SI1.1";"Software Engineering I";"5";"";"P";"";"Z,ZK";""
"3470306";"BIK-LIN.1";"Lineární algebra";"7";"";"";"";"Z,ZK";""
"3461006";"BI-PJP.1";"Programovací jazyky a překladače";"5";"";"";"";"Z,ZK";""
"3461706";"BI-PVE";"Povinně volitelný ekonom.-man.";"4";"";"";"";"Z,ZK";""
"3461306";"BI-PRP.1";"Právo a podnikání";"4";"";"";"";"Z,ZK";""
"3460006";"BI-MGA.1";"Multimediální a grafické aplikace";"5";"";"";"";"Z,ZK";""
"3461106";"BI-PNO.1";"Praktika v návrhu číslicových obvodů";"5";"";"";"";"KZ";""
"3461806";"BI-PVH";"Povinně volitelný humanitní";"2";"";"";"";"ZK";""
"1760806";"VYJEZD";"Výjezd na krátkodobý pobyt do zahraničí, fiktivní předmět";"";"N";"";"";"NIC";""
"3471506";"BIK-PVH";"Povinně volitelný humanitní";"2";"";"";"";"ZK";""
"3471406";"BIK-PVE";"Povinně volitelný ekonom.-man.";"4";"";"";"";"Z,ZK";""
"3472406";"BIK-ZDM.1";"Základy diskrétní matematiky";"5";"";"";"";"Z,ZK";""
"3466906";"BIE-PVE";"Compulsory Elective Econom.-Man.";"4";"";"P";"";"Z,ZK";""
"3467006";"BIE-PVH";"Compulsory Elective Humanities";"2";"";"";"";"ZK";""
"3465706";"BIE-LIN.1";"Linear Algebra";"7";"";"";"";"Z,ZK";""
"3468106";"BIE-VZD.1";"Data Mining";"4";"";"";"";"Z,ZK";""
"3468006";"BIE-VWM.1";"Searching Web and Multimedia DBs";"5";"";"P";"";"Z,ZK";""
"3466406";"BIE-PJP.1";"Program. Languages and Compilers";"5";"";"";"";"Z,ZK";""
"3471706";"BIK-SI1.1";"Softwarové inženýrství I";"5";"";"";"";"Z,ZK";""
"3471106";"BIK-PS1.1";"Programování v shellu 1";"5";"";"";"";"KZ";""
"3468306";"BIE-ZDM.1";"Elements of Discrete Mathematics";"5";"";"";"";"Z,ZK";""
"3461406";"BI-PS1.1";"Programování v shellu 1";"5";"";"";"";"KZ";""
"1749106";"X000621";"Technology Strategy";"";"";"";"";"ZK";""
"2107006";"X000802";"Formal Methods";"";"";"";"";"ZK";""
"2106806";"X000801";"Adv Unix System Admin";"";"";"";"";"ZK";""
"6217706";"NI-VPR";"Výzkumný projekt";"5";"V;";"P";"M";"Z";""
"1510606";"BIE-BAP";"Bachelor Thesis";"14";"P";"P";"B";"Z";"EN"
"1495306";"MI-DIP";"Magisterská práce";"23";"P";"P";"M";"Z";"OO"
"1499406";"MI-MPR";"Magisterský projekt";"7";"P";"P";"M";"Z";""
"5529206";"NI-DIP";"Magisterská práce";"30";"P";"P";"M";"Z";""
"1142806";"BI-BAP";"Bakalářská práce";"14";"P";"";"B";"Z";"CS"
"6256106";"NIE-VPR";"Research Project";"5";"V;";"P";"M";"Z";"EN"
"6547906";"BI-BPR.21";"Bakalářský projekt";"1";"P;";"P";"B;";"Z";"CS"
"6691806";"BI-BAP.21";"Bakalářská práce";"14";"P";"";"B";"Z";"CS"
"6624006";"NIE-MPR";"Master Project";"7";"P";"P";"M";"Z";"EN"
"1495406";"MIE-DIP";"Diploma Project";"23";"P";"P";"M";"Z";"EN"
"6098206";"NI-MPR";"Magisterský projekt";"7";"P";"P";"M";"Z";""
"3469606";"BIK-BPR";"Bakalářský projekt";"2";"P;";"K";"B;";"Z";"CS"
"3465006";"BIE-BPR";"Bachelor Project";"2";"P;";"P";"B;";"Z";"EN"
"6623706";"NIE-DIP";"Diploma Project";"30";"P";"P";"M;";"Z";"EN"
