"cislo_prihlasky";"odkud_uchazec_prihlasen_kod";"prihlaska_kod";"studium_id";"rozhodnuti_kod";"obor_ss_kod";"ss_izo";"ss_typ";"ss_predmet1";"ss_predmet2";"ss_predmet3";"ss_predmet4";"ss_predmet5";"ss_predmet1_znamky";"ss_predmet2_znamky";"ss_predmet3_znamky";"ss_predmet4_znamky";"ss_predmet5_znamky";"ss_predmet1_prumer";"ss_predmet2_prumer";"ss_predmet3_prumer";"ss_predmet4_prumer";"ss_predmet5_prumer";"ss_prumer_prumeru";"ss_prumer_znamek";"bakalar_prumer";"predchozi_studium";"doplnujici_udaj1";"doplnujici_udaj2";"doplnujici_udaj3";"doplnujici_udaj4";"typ_prihlasky";"maturita_znamky";"maturita_prumer";"maturita_predmety";"maturita_rok";"cislo_mistnosti_pz";"datum_pz";"prominuti_pz";"hodnoceni_pz";"hodnoceni_pz_cast1";"hodnoceni_pz_cast2";"hodnoceni_pz_cast3";"hodnoceni_pz_cast4";"hodnoceni_pz_cast5";"hodnoceni_pz_cast6";"hodnoceni_pz_cast7";"hodnoceni_pz_cast8";"hodnoceni_pz_cast9";"hodnoceni_pz_cast10";"hodnoceni_pz_cast11";"hodnoceni_pz_cast12";"zapsal_ke_studiu";"status";"stipendium";"stipendium_cizi";"kolej_zadost";"termin";"prechodne";"studijni_skupina";"nove_prijaty";"navazujici_stud_program";"trvaly_pobyt_v_cr";"financovani";"stupen_predchoziho_vzdelani";"pz1_datum";"pz1_cas";"pz1_mistnost";"pz2_datum";"pz2_cas";"pz2_mistnost";"pz3_datum";"pz3_cas";"pz3_mistnost";"pisemny_test";"anketa_odkud_kod";"anketa_odkud_poznamka";"cislo_uchazece";"scio_test";"olympiady";"postizeni_kod";"postizeni_poznamka";"placeno_r";"placeno_poznamka";"placeno_mail";"staz_stat";"staz_poznamka";"maturita_uroven";"zajem";"zprava_pro_uchazece";"priorita";"datum_registrace";"datum_rozhodnuti";"misto_kod";"okres_kod";"zeme_kod";"psc"
"2";"";"2788685710";"1754706";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2009-09-08";"";"Česká Lípa";"3501";"3501";"47001"
"3";"";"7392860610";"1754806";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2009-09-08";"";"Doksy";"3203";"3203";"27364"
"4";"";"5222013410";"1754906";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2009-09-08";"";"Husinec";"3209";"3209";"25068"
"5";"";"1489038810";"1755006";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2009-09-08";"";"Mikulášovice";"3502";"3502";"40779"
"6";"";"7970815610";"1755106";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2009-09-08";"";"Ivančice";"3703";"3703";"66491"
"7";"";"7662669710";"1755206";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2009-09-08";"";"Protivín";"3305";"3305";"39811"
"8";"";"6380888210";"1755306";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2009-09-08";"";"České Budějovice";"3301";"3301";"37011"
"9";"";"1061045510";"1755406";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"257159744004";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2009-09-08";"";"Kladno";"3203";"3203";"27201"
"10";"";"7241696510";"1755506";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2009-09-08";"";"Děčín";"3502";"3502";"40505"
"11";"";"1514936810";"1755606";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2009-09-08";"";"Český Krumlov";"3302";"3302";"38101"
