"studium_id";"typ_programu";"forma_studia";"datum_zahajeni";"datum_ukonceni";"rocnik";"studijni_stav";"studuje";"zamereni_id";"fakulta_id";"nazev_fakulty";"jazyk_vyuky";"ukonceni_zpusob";"platby_stav";"pruchod";"rok_maturity";"odkud_skola_kod"
"18943906";"B";"";"2021-04-21";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"";""
"18943806";"B";"";"2021-04-21";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"";""
"18943706";"B";"";"2021-04-21";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"";""
"18943406";"B";"";"2021-04-21";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"2013-01-01";""
"18944306";"B";"";"2021-04-21";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"";""
"18944206";"B";"";"2021-04-21";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"";""
"18944106";"B";"";"2021-04-21";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"";""
"18955306";"B";"";"2021-04-27";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"2019-01-01";""
"18944006";"B";"";"2021-04-21";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"";""
"18943306";"B";"";"2021-04-21";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"";""
"18944406";"B";"";"2021-04-23";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"";""
"18944606";"B";"";"2021-04-23";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"";""
"18944506";"B";"";"2021-04-23";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"";""
"18777306";"B";"";"2020-11-30";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"";""
"18773406";"B";"";"2020-11-25";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"";""
"18771606";"B";"";"2020-11-25";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"";""
"18771506";"B";"";"2020-11-25";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"";""
"18771406";"B";"";"2020-11-25";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"";""
"18773306";"B";"";"2020-11-25";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"";""
"18771306";"B";"";"2020-11-25";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"";""
"18305206";"B";"";"2020-09-07";"";"1";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"";""
"18345206";"B";"";"2020-09-08";"";"1";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"";""
"18943606";"N";"";"2021-04-21";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"";"";"";"";"";""
