"cislo_prihlasky";"odkud_uchazec_prihlasen_kod";"prihlaska_kod";"studium_id";"rozhodnuti_kod";"obor_ss_kod";"ss_izo";"ss_typ";"ss_predmet1";"ss_predmet2";"ss_predmet3";"ss_predmet4";"ss_predmet5";"ss_predmet1_znamky";"ss_predmet2_znamky";"ss_predmet3_znamky";"ss_predmet4_znamky";"ss_predmet5_znamky";"ss_predmet1_prumer";"ss_predmet2_prumer";"ss_predmet3_prumer";"ss_predmet4_prumer";"ss_predmet5_prumer";"ss_prumer_prumeru";"ss_prumer_znamek";"bakalar_prumer";"predchozi_studium";"doplnujici_udaj1";"doplnujici_udaj2";"doplnujici_udaj3";"doplnujici_udaj4";"typ_prihlasky";"maturita_znamky";"maturita_prumer";"maturita_predmety";"maturita_rok";"cislo_mistnosti_pz";"datum_pz";"prominuti_pz";"hodnoceni_pz";"hodnoceni_pz_cast1";"hodnoceni_pz_cast2";"hodnoceni_pz_cast3";"hodnoceni_pz_cast4";"hodnoceni_pz_cast5";"hodnoceni_pz_cast6";"hodnoceni_pz_cast7";"hodnoceni_pz_cast8";"hodnoceni_pz_cast9";"hodnoceni_pz_cast10";"hodnoceni_pz_cast11";"hodnoceni_pz_cast12";"zapsal_ke_studiu";"status";"stipendium";"stipendium_cizi";"kolej_zadost";"termin";"prechodne";"studijni_skupina";"nove_prijaty";"navazujici_stud_program";"trvaly_pobyt_v_cr";"financovani";"stupen_predchoziho_vzdelani";"pz1_datum";"pz1_cas";"pz1_mistnost";"pz2_datum";"pz2_cas";"pz2_mistnost";"pz3_datum";"pz3_cas";"pz3_mistnost";"pisemny_test";"anketa_odkud_kod";"anketa_odkud_poznamka";"cislo_uchazece";"scio_test";"olympiady";"postizeni_kod";"postizeni_poznamka";"placeno_r";"placeno_poznamka";"placeno_mail";"staz_stat";"staz_poznamka";"maturita_uroven";"zajem";"zprava_pro_uchazece";"priorita";"datum_registrace";"datum_rozhodnuti";"misto_kod";"okres_kod";"zeme_kod";"psc"
"82";"";"7061262612";"20302106";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"2018";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"A";"69";"K";"";"";"";"";"";"";"";"";"";"";"";"";"3321362";"";"";"";"";"";"";"";"";"";"";"";"";"";"2022-02-23";"2022-02-23";"Liberec";"3505";"203";"46007"
"144";"";"4740927712";"19251606";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"2017";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"N";"69";"K";"";"";"";"";"";"";"";"";"";"";"";"";"3209888";"";"";"";"";"";"";"";"";"";"";"";"";"";"2021-07-28";"2021-07-28";"Praha";"3100";"203";"16900"
"10";"";"4209005712";"20161006";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"2010";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"A";"69";"R";"";"";"";"";"";"";"";"";"";"";"";"";"3267099";"";"";"";"";"";"";"";"";"";"";"";"";"";"2022-01-05";"2022-01-05";"Praha";"3100";"203";"15200"
"85";"";"6566152112";"20308606";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"2017";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"N";"6";"K";"";"";"";"";"";"";"";"";"";"";"";"";"3327830";"";"";"";"";"";"";"";"";"";"";"";"";"";"2022-02-24";"2022-02-24";"Praha";"3100";"203";"16000"
"52";"";"2332213112";"20250406";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"2016";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"A";"69";"M";"";"";"";"";"";"";"";"";"";"";"";"";"3298119";"";"";"";"";"";"";"";"";"";"";"";"";"";"2022-02-10";"2022-02-10";"Chabařovice";"3510";"203";"40317"
"88";"";"8885523112";"20317906";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"N";"6";"R";"";"";"";"";"";"";"";"";"";"";"";"";"3333121";"";"";"";"";"";"";"";"";"";"";"";"";"";"2022-02-28";"2022-02-28";"734003 Siliguri";"";"356";""
"198";"";"4573719612";"19683106";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"6";"K";"";"";"";"";"";"";"";"";"";"";"";"";"3224848";"";"";"";"";"";"";"";"";"";"";"";"";"";"2021-09-07";"2021-09-07";"";"";"203";"17000"
"61";"";"2269215412";"20252506";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"2020";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"A";"69";"M";"";"";"";"";"";"";"";"";"";"";"";"";"3299494";"";"";"";"";"";"";"";"";"";"";"";"";"";"2022-02-11";"2022-02-11";"Nymburk";"3208";"203";"28802"
"77";"";"8835185212";"20299906";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"2018";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"N";"6";"K";"";"";"";"";"";"";"";"";"";"";"";"";"3320350";"";"";"";"";"";"";"";"";"";"";"";"";"";"2022-02-22";"2022-02-22";"Istanbul, Kucukcekmece";"";"792";""
"84";"";"5605898212";"20308506";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"2012";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"N";"6";"R";"";"";"";"";"";"";"";"";"";"";"";"";"3327808";"";"";"";"";"";"";"";"";"";"";"";"";"";"2022-02-24";"2022-02-24";"San Diego, California";"";"840";""
"76";"";"1503159512";"20291906";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"2019";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"A";"69";"K";"";"";"";"";"";"";"";"";"";"";"";"";"3316467";"";"";"";"";"";"";"";"";"";"";"";"";"";"2022-02-21";"2022-02-21";"Praha";"3100";"203";"10400"
"83";"";"2280011012";"20308006";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"2019";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"N";"6";"K";"";"";"";"";"";"";"";"";"";"";"";"";"3327610";"";"";"";"";"";"";"";"";"";"";"";"";"";"2022-02-24";"2022-02-24";"Dinajpur Sadar";"";"050";""
