,studium_id
0,1565706
1,1567206
2,1567706
3,1568006
4,1568506
5,1568606
6,1569006
7,1569206
8,1569506
9,1569906
10,1570206
11,1570406
12,1570906
13,1571006
14,1571906
15,1574206
16,1574506
17,1575206
18,1576306
19,1576606
20,1576706
21,1578106
22,1578406
23,1578606
24,1579106
25,1579306
26,1580206
27,1580706
28,1580906
29,1581406
30,1581706
31,1584306
32,1585106
33,1585506
34,1586206
35,1587206
36,1588306
37,1588406
38,1589206
39,1589706
40,1591106
41,1591606
42,1591906
43,1592206
44,1592506
45,1593406
46,1595306
47,1595506
48,1595806
49,1597906
50,1598706
51,1598906
52,1600206
53,1600506
54,1600706
55,1601006
56,1601606
57,1603006
58,1603206
59,1603306
60,1603906
61,1604906
62,1755006
63,1755206
64,1755306
65,1755606
66,2815006
67,2821806
68,2853706
69,3081406
70,3719006
71,3719206
72,3719506
73,3719906
74,3720306
75,3720406
76,3720506
77,3720706
78,3720806
79,3720906
80,3721206
81,3722406
82,3722506
83,3722606
84,3722706
85,3723606
86,3723806
87,3723906
88,3724206
89,3724306
90,3724706
91,3725506
92,3725706
93,3725906
94,3726106
95,3726306
96,3726506
97,3727006
98,3727206
99,3728106
100,3728806
101,3729406
102,3729506
103,3729606
104,3730706
105,3731206
106,3731306
107,3731606
108,3732106
109,3733106
110,3733806
111,3734406
112,3735406
113,3736506
114,3736606
115,3736806
116,3737006
117,3737106
118,3737706
119,3738706
120,3739506
121,3739706
122,3740106
123,3740506
124,3740806
125,3740906
126,3741106
127,3741206
128,3741306
129,3741406
130,3741506
131,3741706
132,3743806
133,3744906
134,3745506
135,3745806
136,3746706
137,3746806
138,3747506
139,3750606
140,3750806
141,3752106
142,3753906
143,3754006
144,3754306
145,3754406
146,3754706
147,3756306
148,3756606
149,3756906
150,3757606
151,3757906
152,3758206
153,3759206
154,3759306
155,3759506
156,3759906
157,3760206
158,3761406
159,3762106
160,3762206
161,3762806
162,3763006
163,3763206
164,3764306
165,3764606
166,3765306
167,3765706
168,3765906
169,3766206
170,3766306
171,3766506
172,3766606
173,3767506
174,3768306
175,3768906
176,3769606
177,3770006
178,3770406
179,3770506
180,3770706
181,3770806
182,3772006
183,3772106
184,3773106
185,3773406
186,3773706
187,4045806
188,4046106
189,4046306
190,4047606
191,4048206
192,4048306
193,4048506
194,4049306
195,4050606
196,4050706
197,4051006
198,4052006
199,4056106
200,4056706
201,4057206
202,4059306
203,4059406
204,4064906
205,4066306
206,4066806
207,4066906
208,4067606
209,4067806
210,4220206
211,4220506
212,4220606
213,4224006
214,4224106
215,4262506
216,4267906
217,4279006
218,4758606
219,4759006
220,4759706
221,4760506
222,4761006
223,4762106
224,4764606
225,4765906
226,4770506
227,4772906
228,4773306
229,4774606
230,4774806
231,4777206
232,4777806
233,4779306
234,4779606
235,4785306
236,4786506
237,4788506
238,4789806
239,4791406
240,4791506
241,4791606
242,4793206
243,4793706
244,4794706
245,4795606
246,4830706
247,5499006
248,5499906
249,5501606
250,5511006
251,5528006
252,5697906
253,5757106
254,5803506
255,6301706
256,6305806
257,9222706
258,11677306
259,11680406
260,11686106
261,11688606
262,11691806
263,11693506
264,11695406
265,11697206
266,11698306
267,11699506
268,11704806
269,11709106
270,11712506
271,11719706
272,11721106
273,11722606
274,11725406
275,11727206
276,11728006
277,11730206
278,11733106
279,11733706
280,11735706
281,11742506
282,11744806
283,11746506
284,12032006
285,12033706
286,12034706
287,12375406
288,12987106
289,13001306
290,13009606
291,13016006
292,13512006
293,13518506
294,13518606
295,13519306
