,studium_id
0,1565606
1,1566506
2,1567206
3,1569106
4,1570406
5,1571306
6,1572206
7,1573706
8,1574206
9,1574706
10,1576706
11,1578606
12,1579306
13,1580106
14,1580606
15,1583406
16,1584306
17,1587706
18,1590106
19,4055306
20,1593006
21,1593306
22,1593406
23,1594706
24,1597906
25,1598306
26,1601006
27,1601706
28,1603706
29,1603806
30,1603906
31,3750206
32,3718406
33,3719606
34,3721706
35,3723906
36,3726806
37,3727306
38,3728406
39,3731806
40,3732306
41,3739706
42,3742106
43,3743906
44,3745806
45,3746906
46,3747606
47,3747706
48,3753506
49,3753806
50,3761906
51,3763306
52,3768506
53,3769206
54,3769306
55,3773806
56,4047206
57,4048706
58,4052006
59,4055506
60,4056606
61,4067506
62,5510506
63,5502206
64,4759106
65,4759906
66,4760006
67,4761906
68,4769706
69,4770006
70,4771006
71,4775706
72,4776106
73,4776206
74,4776606
75,4777106
76,4777506
77,4777606
78,4788406
79,4789906
80,4792206
81,4793706
82,5494706
83,5495506
84,5497406
85,5497606
86,5500106
87,5503206
88,5504206
89,5504606
90,5506506
91,1595006
92,4791406
93,1578206
94,1580906
95,1755206
96,4761606
97,1755606
98,1600606
99,3727706
