,studium_id
0,1578106
1,4047706
2,1565606
3,1565706
4,1566506
5,1566606
6,1566906
7,1567106
8,1567206
9,1567506
10,1567706
11,1567906
12,1568006
13,1568506
14,1568606
15,1569006
16,1569106
17,1570206
18,1570406
19,1571006
20,1571106
21,1571306
22,1571906
23,1572206
24,1573706
25,1573806
26,1574006
27,1574206
28,1574506
29,1574606
30,1574706
31,1575206
32,1576306
33,1576706
34,1577506
35,1578406
36,1578606
37,1579106
38,1579306
39,1580106
40,1580206
41,1580606
42,1580706
43,1580806
44,1581106
45,1581406
46,1581706
47,1583406
48,1584106
49,1584306
50,1585106
51,1585506
52,1586006
53,1586206
54,1586706
55,1587006
56,1587206
57,1587706
58,1588306
59,1588406
60,1589206
61,1589706
62,1589906
63,1590106
64,1591106
65,1591506
66,1591606
67,1591706
68,1591906
69,1592106
70,1592206
71,1592506
72,1592706
73,1593006
74,1593206
75,1593306
76,1593406
77,1593606
78,1594406
79,1594706
80,1594806
81,1595306
82,1595806
83,1597606
84,1597706
85,1597906
86,1598006
87,1598106
88,1598306
89,1598706
90,1598906
91,1599406
92,1599606
93,1600506
94,1600706
95,1601006
96,1601606
97,1601706
98,1601806
99,1602406
100,1603006
101,1603206
102,1603306
103,1603706
104,1603806
105,1603906
106,1604506
107,1605306
108,1605406
109,4760606
110,2814906
111,3721906
112,5528006
113,3750206
114,4279006
115,5698306
116,3753306
117,3718106
118,3718406
119,3718506
120,3718906
121,3719006
122,3719206
123,3719506
124,3719606
125,3719906
126,3720206
127,3720306
128,3720406
129,3720506
130,3720706
131,3720806
132,3720906
133,3721006
134,3721206
135,3721306
136,3721706
137,3721806
138,3722006
139,3722406
140,3722506
141,3722606
142,3722706
143,3723006
144,3723506
145,3723606
146,3723806
147,3723906
148,3724206
149,3724306
150,3724706
151,3725006
152,3725106
153,3725306
154,3725506
155,3725606
156,3725706
157,3725906
158,3726106
159,3726306
160,3726406
161,3726506
162,3726806
163,3727006
164,3727106
165,3727206
166,3727306
167,3727406
168,3727806
169,3728406
170,3728606
171,3728806
172,3728906
173,3729206
174,3729406
175,3729506
176,3729606
177,3730106
178,3730306
179,3730406
180,3730606
181,3730706
182,3730906
183,3731206
184,3731306
185,3731606
186,3731806
187,3731906
188,3732106
189,6305806
190,3732306
191,3732406
192,3732906
193,3733106
194,3733406
195,3733806
196,3733906
197,3734106
198,3734206
199,3734406
200,3734606
201,3735406
202,4776006
203,3735606
204,3735706
205,3735806
206,3736506
207,3736606
208,3736806
209,3737006
210,3737106
211,9225306
212,3737706
213,3737906
214,3738106
215,3738206
216,3738306
217,3738706
218,3739006
219,4779006
220,3739506
221,3739706
222,3739906
223,3740106
224,3740506
225,3740806
226,3740906
227,3741106
228,3741206
229,3741306
230,3741406
231,3741506
232,3741706
233,3742106
234,3742406
235,3742606
236,3743206
237,3743806
238,3743906
239,3744706
240,3744806
241,3744906
242,3745206
243,3745306
244,3745406
245,3745506
246,3745706
247,3745806
248,3745906
249,3746306
250,3746706
251,3746806
252,3746906
253,3747006
254,3747206
255,3747306
256,3747506
257,3747606
258,3747706
259,3749206
260,3749306
261,3749606
262,3750606
263,3750806
264,3752106
265,3753006
266,3753506
267,3753806
268,3753906
269,3754006
270,3754206
271,3754306
272,3754406
273,3754706
274,3754806
275,3756306
276,3756606
277,3756906
278,3757306
279,13016006
280,3757506
281,3757606
282,3757906
283,3758206
284,3759306
285,3759506
286,3759906
287,3760206
288,3760706
289,3761106
290,3761406
291,3761906
292,3762106
293,3762206
294,3762806
295,3763006
296,3763206
297,3763306
298,3764306
299,3764606
300,3764706
301,3764906
302,3765306
303,3765706
304,3765906
305,3766006
306,3766206
307,3766306
308,3766406
309,3766506
310,3766606
311,3766806
312,3766906
313,3767206
314,3767306
315,3767506
316,3767606
317,3768306
318,3768506
319,3768606
320,3768906
321,3769206
322,3769306
323,3769606
324,3769806
325,3770006
326,3770406
327,3770506
328,3770706
329,3770806
330,3771506
331,3771606
332,3772006
333,3772106
334,3773106
335,3773406
336,3773706
337,3773806
338,3773906
339,5803506
340,4045806
341,4046106
342,4046306
343,4047206
344,4047506
345,4047606
346,4048206
347,4048306
348,4048506
349,4048706
350,4049306
351,4049406
352,4050206
353,4050506
354,4050606
355,4050706
356,4050906
357,4051006
358,4051106
359,4052006
360,4055506
361,4056106
362,4056606
363,4056706
364,4057206
