"semestr_id";"oznaceni_cs"
"A000";"Uznané předměty"
"B012";"Letní 2001/2002"
"A001";"Uznané - 1.sem."
"A002";"Uznané - 2.sem."
"A003";"Uznané - 3.sem."
"A004";"Uznané - 4.sem."
"A005";"Uznané - 5.sem."
"A006";"Uznané - 6.sem."
"A007";"Uznané - 7.sem."
"A008";"Uznané - 8.sem."
"A009";"Uznané - 9.sem."
"A010";"Uznané -10.sem."
"A011";"Uznané -11.sem."
"B001";"Zimní 2000/2001"
"A951";"Zimní 95/96"
"A952";"Letní 95/96"
"A921";"Zimní 92/93"
"A931";"Zimní 93/94"
"A932";"Letní 93/94"
"A941";"Zimní 94/95"
"A942";"Letní 94/95"
"A961";"Zimní 96/97"
"A962";"Letní 96/97"
"A971";"Zimní 97/98"
"A972";"Letní 97/98"
"A981";"Zimní 98/99"
"A982";"Letní 98/99"
"A991";"Zimní 99/2000"
"A992";"Letní 99/2000"
"A922";"Letní 92/93"
"B002";"Letní 2000/2001"
"B011";"Zimní 2001/2002"
"A891";"Zimní 89/90"
"A892";"Letní 89/90"
"A911";"Zimní 91/92"
"A912";"Letní 91/92"
"A901";"Zimní 90/91"
"A902";"Letní 90/91"
"B021";"Zimní 2002/2003"
"B022";"Letní 2002/2003"
"B031";"Zimní 2003/2004"
"B032";"Letní 2003/2004"
"B041";"Zimní 2004/2005"
"B042";"Letní 2004/2005"
"B051";"Zimní 2005/2006"
"B052";"Letní 2005/2006"
"B062";"Letní 2006/2007"
"B071";"Zimní 2007/2008"
"B072";"Letní 2007/2008"
"B081";"Zimní 2008/2009"
"B082";"Letní 2008/2009"
"B091";"Zimní 2009/2010"
"B092";"Letní 2009/2010"
"B101";"Zimní 2010/2011"
"B102";"Letní 2010/2011"
"B111";"Zimní 2011/2012"
"B112";"Letní 2011/2012"
"B131";"Zimní 2013/2014"
"B132";"Letní 2013/2014"
"B151";"Zimní 2015/2016"
"B152";"Letní 2015/2016"
"B161";"Zimní 2016/2017"
"B162";"Letní 2016/2017"
"B141";"Zimní 2014/2015"
"B142";"Letní 2014/2015"
"A00";"Pomocný semestr"
"A01";"Pomocný semestr zima"
"A94";"Školní rok 94/95"
"A95";"Školní rok 95/96"
"A96";"Školní rok 91997"
"0000";"Semestr pro uznávání"
"B221";"Zimní 2022/2023"
"B222";"Letní 2022/2023"
"B231";"Zimní 2023/2024"
"B232";"Letní 2023/2024"
"B241";"Zimní 2024/2025"
"B242";"Letní 2024/2025"
"B121";"Zimní 2012/2013"
"B122";"Letní 2012/2013"
"B172";"Letní 2017/2018"
"B171";"Zimní 2017/2018"
"B191";"Zimní 2019/2020"
"B182";"Letní 2018/2019"
"B181";"Zimní 2018/2019"
"D007";"Doktorské studium"
"B201";"Zimní 2020/2021"
"B202";"Letní 2020/2021"
"B192";"Letní 2019/2020"
"B061";"Zimní 2006/2007"
"B212";"Letní 2021/2022"
"B211";"Zimní 2021/2022"
