"studium_id";"typ_programu";"forma_studia";"datum_zahajeni";"datum_ukonceni";"rocnik";"studijni_stav";"studuje";"zamereni_id";"fakulta_id";"nazev_fakulty";"jazyk_vyuky";"ukonceni_zpusob";"platby_stav";"pruchod";"rok_maturity";"odkud_skola_kod"
"20161006";"B";"";"2022-01-05";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"CS";"";"";"";"2010-01-01";""
"20308606";"B";"";"2022-02-24";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"CS";"";"";"";"2017-01-01";""
"20250406";"B";"";"2022-02-10";"2022-02-28";"0";"38";"K";"";"10";"Fakulta informačních technologií";"CS";"60";"";"";"2016-01-01";""
"20317906";"B";"";"2022-02-28";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"CS";"";"";"";"";""
"19683106";"B";"";"2021-09-07";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"CS";"";"";"";"";""
"20252506";"B";"";"2022-02-11";"2022-02-25";"0";"38";"K";"";"10";"Fakulta informačních technologií";"CS";"60";"";"";"2020-01-01";""
"19251606";"B";"";"2021-07-28";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"CS";"";"";"";"2017-01-01";""
"20299906";"B";"";"2022-02-22";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"CS";"";"";"";"2018-01-01";""
"20308506";"B";"";"2022-02-24";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"CS";"";"";"";"2012-01-01";""
"20291906";"B";"";"2022-02-21";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"CS";"";"";"";"2019-01-01";""
"20308006";"B";"";"2022-02-24";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"CS";"";"";"";"2019-01-01";""
"20302106";"B";"";"2022-02-23";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"CS";"";"";"";"2018-01-01";""
"20302006";"B";"";"2022-02-23";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"CS";"";"";"";"2013-01-01";""
"20301906";"B";"";"2022-02-23";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"CS";"";"";"";"2012-01-01";""
"19473306";"B";"";"2021-08-30";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"CS";"";"";"";"2006-01-01";""
"19405806";"B";"";"2021-08-26";"2022-02-16";"1";"38";"K";"";"10";"Fakulta informačních technologií";"CS";"60";"";"";"2009-01-01";""
"20252806";"B";"";"2022-02-11";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"CS";"";"";"";"2016-01-01";""
"20244106";"B";"";"2022-02-09";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"CS";"";"";"";"";""
"20250206";"B";"";"2022-02-10";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"CS";"";"";"";"2011-01-01";""
"20236006";"B";"";"2022-02-08";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"CS";"";"";"";"";""
"20248406";"B";"";"2022-02-11";"";"0";"1";"S";"";"10";"Fakulta informačních technologií";"CS";"";"";"";"";""
