"studium_id";"zaverecna_prace_id";"cislo_terminu";"vedouci_jmeno";"navrh_znamky_vedouci";"oponent_jmeno";"navrh_znamky_oponent";"datum_obhajoby";"zaverecna_prace_hodnoceni";"nazev_cs";"nazev_en";"typ_prace";"jazyk_prace"
"11744406";"1027848193105";"2";"Ing. Michal Valenta, Ph.D.";"1.5";"Ing. Josef Gattermayer, Ph.D.";"2";"2019-08-29";"2";"Možnosti komerčního využití technologie blockchain - případová studie poskytnutí úvěru";"Possibilities of Commercial Use of Blockchain Technology - Case Study of Loan Provision";"B";"CS"
"8325706";"610258843505";"1";"Ing. Jiří Hunka";"1";"Ing. Michal Valenta, Ph.D.";"1";"2016-02-16";"1";"Mojeskolka.info - tvorba uzavřené komunitní sítě pro školky";"Mojeskolka.info - design and creation of an information and comunication system for kindergartens";"M";"CS"
"13519106";"996867794205";"1";"Ing. Pavel Štěpán";"1";"doc. Ing. Mgr. Petr Klán, CSc.";"1";"2019-06-25";"1";"Webová aplikace na tvorbu a správu seznamů definovaných uživateli";"Web application for creating and managing lists defined by users";"B";"CS"
"12978706";"1003137261105";"1";"Ing. Marek Suchánek";"1";"Ing. Michal Valenta, Ph.D.";"1";"2020-02-04";"1";"Informační systém pro správu studijních projektů";"Study Project Management Information System";"B";"CS"
"6931306";"712263858505";"1";"Ing. Jiří Chludil";"1";"Ing. Radek Richtr, Ph.D.";"1";"2016-06-28";"1";"Aplikace pro porovnávání algoritmů počítačového vidění";"Application for comparing computer vision algorithms";"B";"CS"
"16764806";"1092115136605";"1";"Ing. Radek Richtr, Ph.D.";"1";"Ing. Petr Pauš, Ph.D.";"1";"2020-02-04";"1";"Věnná města českých královen II. - úprava textur";"Dowry Cities of the Czech Queens II. - Texture Editing";"B";"CS"
"11646306";"922668485605";"1";"";"1";"Ing. Petra Pavlíčková, Ph.D.";"1.5";"2018-06-14";"1.5";"Projektové řízení v IT společnosti";"Project Management in IT Company";"M";"CS"
"14795206";"1025241935205";"1";"doc. Ing. Stanislav Vítek, Ph.D.";"1.5";"doc. Ing. Tomáš Vitvar, Ph.D.";"4";"2019-06-11";"3";"Webové prostředí pro správu a konfiguraci IoT projektů";"Web-based environment to administration of IoT projects";"M";"CS"
"4760606";"620282655105";"1";"Ing. Lukáš Zoubek";"1.5";"Ing. Radek Hronza, Ph.D.";"2.5";"2015-06-18";"2";"Analýza online nástrojů pro řízení malých projektů";"Analysis of Online Tools for Management of Small Projects";"B";"CS"
"13032506";"916501620905";"1";"doc. Ing. Petr Fišer, Ph.D.";"1";"doc. Ing. Jan Schmidt, Ph.D.";"1";"2018-06-14";"1";"Aplikace pro demonstraci funkce Tabu prohledávání";"Application for demonatration of the Tabu Search algorithm";"M";"CS"
"6291906";"610259251605";"1";"Ing. Jiří Hunka";"1.5";"Ing. Michal Valenta, Ph.D.";"2";"2015-06-16";"1.5";"Analýza a kompletace webové aplikace RAT";"Analysis and completion of web application RAT";"B";"CS"
"8324706";"630502964605";"1";"Ing. Jiří Chludil";"2";"Ing. Jan Kubr, Ph.D.";"2";"2016-02-16";"2";"BOZP portál - modul pro správu školení";"BOZP portal - training course management modul";"M";"CS"
"12966906";"1030099060805";"1";"Ing. Marek Skotnica";"1";"Mgr. Ondřej Dvořák";"1";"2020-02-04";"1";"Vytěžování procesů ve finančním sektoru";"Process Mining in Finance Domain";"B";"EN"
