,studium_id
0,7785906
1,6305806
2,12967806
3,9225306
4,9668306
5,11719706
6,13016006
7,8398406
8,9665506
9,7791306
10,13518506
11,14256606
12,9210406
13,10086506
14,11727206
15,9211006
16,13512006
17,9188106
18,13518606
19,15586306
20,11686106
21,12978506
22,14283706
23,9197106
24,12033706
25,12034706
26,12032006
27,12997606
28,11735706
29,11744806
30,13009606
31,9179406
32,11733106
33,12987106
34,13001306
35,11700606
36,11680406
37,9169406
38,11698306
39,14258006
40,12958906
41,11697206
42,13516406
43,16752506
44,11721106
45,11709106
46,16705906
47,14240606
48,16771406
49,15595106
50,14292206
51,15584906
52,17908106
53,14293306
54,15567806
55,16764806
56,15549406
57,14810406
58,15596006
59,17328306
60,16772806
61,16731806
62,15612906
63,16740806
64,15590206
65,16762606
66,16748906
67,15555506
68,15593306
69,16190406
70,16760106
71,16749806
72,17934706
73,16722006
74,16728806
75,17333906
76,17322206
77,12979706
78,4791406
