,studium_id
0,12375406
1,12948006
2,12967806
3,11719706
4,13016006
5,13518506
6,14256606
7,11727206
8,13512006
9,11742506
10,13518606
11,11686106
12,12033706
13,12034706
14,11733706
15,12032006
16,11735706
17,11744806
18,13009606
19,11733106
20,12987106
21,11746506
22,13001306
23,13519306
24,11680406
25,11695406
26,11698306
27,11712506
28,11725406
29,11688606
30,11722606
31,11704806
32,11697206
33,14277206
34,11730206
35,11693506
36,11691806
37,11699506
38,11721106
39,11709106
40,11677306
41,16705906
42,16771406
43,14799206
44,14292406
45,14311706
46,15584906
47,17908106
48,15621706
49,12081206
50,15567806
51,11728006
52,16764806
53,14810406
54,14292006
55,16772806
56,15586206
57,15612906
58,16762606
59,18607906
60,17327806
61,16748906
62,12949306
63,13110406
64,17322306
65,14296106
66,14287606
67,16722006
68,18601706
69,17322206
