,studium_id
0,12375406
1,1591506
2,1601806
3,9225306
4,9668306
5,3742106
6,13016006
7,9665506
8,4052006
9,7791306
10,13518506
11,14256606
12,10086506
13,7809406
14,9211006
15,7845306
16,13512006
17,12994106
18,11742506
19,9188106
20,13518606
21,15586306
22,12978506
23,14283706
24,12033706
25,12997606
26,11735706
27,11744806
28,11733106
29,13001306
30,13519306
31,11680406
32,11695406
33,9169406
34,9208006
35,11688606
36,14258006
37,11693506
38,11691806
39,16752506
40,11677306
41,12990906
42,16705906
43,14240606
44,16771406
45,12998206
46,15595106
47,14799206
48,15616506
49,14292406
50,14292206
51,15584906
52,17908106
53,11733506
54,14286906
55,15624506
56,15567806
57,14301906
58,16764806
59,14810406
60,17328306
61,16772806
62,15586206
63,16731806
64,16719406
65,16740806
66,16191706
67,16762606
68,18607906
69,16748906
70,15555506
71,16760106
72,16740506
73,16711906
74,16722206
75,18601706
76,12979706
77,4761606
