,studium_id
0,12375406
1,9671006
2,8361406
3,7783306
4,7785906
5,6305806
6,9225306
7,9668306
8,11719706
9,4788206
10,8398406
11,9665506
12,7791006
13,7830906
14,6301706
15,7791306
16,9214506
17,8295306
18,9210406
19,10086506
20,11727206
21,7809406
22,9211006
23,7828906
24,9200706
25,6317406
26,7845306
27,13512006
28,7800806
29,8416706
30,12994106
31,11742506
32,9671406
33,7825506
34,9188106
35,7811206
36,13518606
37,15586306
38,11686106
39,9222706
40,9215306
41,9174906
42,12978506
43,9186206
44,7815306
45,9175906
46,14283706
47,9197106
48,12033706
49,9205006
50,9186306
51,12034706
52,7829506
53,11733706
54,12032006
55,12997606
56,11735706
57,11744806
58,9219706
59,9170606
60,13009606
61,11733106
62,12987106
63,11746506
64,7824706
65,13001306
66,13519306
67,11680406
68,11695406
69,9169406
70,9172006
71,11698306
72,9208006
73,11712506
74,9216606
75,11714506
76,11725406
77,9195906
78,11709806
79,11688606
80,14246906
81,11722606
82,14258006
83,12958906
84,12991006
85,11704806
86,11697206
87,11706306
88,14277206
89,11730206
90,11693506
91,11691806
92,14805706
93,13516406
94,12954406
95,16752506
96,12974306
97,11710206
98,11712806
99,11699506
100,11721106
101,9667706
102,9226606
103,11709106
104,9171006
105,11677306
106,12990906
107,16705906
108,14240606
109,13515906
110,11680906
111,11692306
112,16771406
113,12998206
114,11717706
115,12985606
116,12030306
117,15595106
118,14799206
119,11716206
120,11728106
121,13011706
122,11742906
123,15616506
124,14292406
125,13013206
126,11717606
127,11728306
128,12990606
129,12965106
130,14311706
131,14292206
132,11705606
133,15584906
134,17908106
135,14286906
136,15624506
137,15621706
138,15620706
139,14293306
140,13510906
141,15567806
142,14275706
143,12980406
144,14274606
145,14301906
146,14320306
147,16764806
148,12969106
149,13009006
150,13518306
151,15549406
152,12961006
153,12991606
154,14266706
155,14810406
156,12991506
157,14806606
158,14292006
159,15596006
160,17328306
161,16772806
162,15586206
163,16731806
164,15612906
165,16719406
166,16740806
167,15590206
168,15575506
169,16191706
170,16762606
171,17326106
172,18607906
173,17327806
174,16748906
175,15555506
176,15593306
177,16190406
178,14292706
179,15622606
180,16747206
181,14812706
182,16749306
183,15603506
184,16757106
185,16760106
186,16740506
187,16711906
188,17322306
189,16749806
190,17934706
191,16722206
192,16722006
193,16728806
194,17333906
195,15586106
196,18601706
197,15611706
198,17322206
199,12979706
200,4791406
201,4770506
202,4830706
