,studium_id
0,12375406
1,9671006
2,12967806
3,9225306
4,9668306
5,11719706
6,13016006
7,8398406
8,9665506
9,7791306
10,13518506
11,9214506
12,14256606
13,11727206
14,9211006
15,7845306
16,13512006
17,7800806
18,8416706
19,12994106
20,11742506
21,7825506
22,9188106
23,13518606
24,15586306
25,11686106
26,9222706
27,9215306
28,12978506
29,14283706
30,9186306
31,11733706
32,12032006
33,12997606
34,11735706
35,9170606
36,13009606
37,9211806
38,11733106
39,11746506
40,11700606
41,13519306
42,11680406
43,9169406
44,9172006
45,11698306
46,11712506
47,9216606
48,11725406
49,11688606
50,14246906
51,14258006
52,12991006
53,11704806
54,11697206
55,11730206
56,11681606
57,11693506
58,14805706
59,13516406
60,12954406
61,12974306
62,11712806
63,11699506
64,11721106
65,11709106
66,11677306
67,12990906
68,16705906
69,14240606
70,16771406
71,12998206
72,15595106
73,14799206
74,15616506
75,14292406
76,13013206
77,12990606
78,12965106
79,14311706
80,14292206
81,15584906
82,17908106
83,14286906
84,15624506
85,15621706
86,15620706
87,14293306
88,13510906
89,15567806
90,14275706
91,14274606
92,14301906
93,14320306
94,16764806
95,12969106
96,12961006
97,14266706
98,14810406
99,14806606
100,14292006
101,15596006
102,17328306
103,15586206
104,16731806
105,15612906
106,16740806
107,15590206
108,15575506
109,16762606
110,17326106
111,18607906
112,17327806
113,16748906
114,15555506
115,15593306
116,16190406
117,14292706
118,15622606
119,16747206
120,14812706
121,16749306
122,15603506
123,16757106
124,16760106
125,16740506
126,16711906
127,16749806
128,17934706
129,16722206
130,16722006
131,16728806
132,17333906
133,18601706
134,17322206
135,12979706
136,4791406
