,studium_id
0,12375406
1,1565606
2,1566506
3,1567206
4,1569106
5,1570406
6,1571306
7,1572206
8,1573706
9,1574206
10,1574706
11,1576706
12,1578606
13,1579306
14,1580106
15,1580606
16,1583406
17,1584306
18,1587706
19,1590106
20,1591506
21,4055306
22,1593006
23,1593306
24,1593406
25,1594706
26,1597906
27,1598306
28,1601006
29,1601706
30,1601806
31,1603706
32,1603806
33,1603906
34,3750206
35,3718406
36,3719606
37,3721706
38,7783306
39,3723906
40,7785906
41,3726806
42,3727306
43,3728406
44,3728806
45,3731806
46,3732306
47,12967806
48,9225306
49,9668306
50,3739706
51,3742106
52,3743906
53,11719706
54,3745806
55,3746906
56,3747606
57,3747706
58,3753506
59,3753806
60,3761006
61,3761906
62,3763306
63,9665506
64,3768506
65,3769206
66,3769306
67,3773806
68,6318006
69,4047206
70,4048706
71,4052006
72,4055506
73,4056606
74,4067506
75,5510506
76,5502206
77,13518506
78,4759106
79,4759906
80,4760006
81,14256606
82,4761906
83,9210406
84,10086506
85,4769706
86,4770006
87,11727206
88,4771006
89,7809406
90,4773106
91,4775706
92,4776106
93,4776206
94,4776606
95,4777106
96,4777506
97,4777606
98,4788406
99,4789906
100,4792206
101,4793706
102,5494706
103,5495506
104,5497406
105,5497606
106,13512006
107,5500106
108,5503206
109,5504206
110,12994106
111,5504606
112,11742506
113,5506506
114,13518606
115,9222706
116,12978506
117,14283706
118,9197106
119,12033706
120,9186306
121,9227506
122,11733706
123,11744806
124,9219706
125,13009606
126,9211806
127,12987106
128,13519306
129,11680406
130,11698306
131,9216606
132,14246906
133,11722606
134,14258006
135,12991006
136,14277206
137,14805706
138,16752506
139,11721106
140,9226606
141,16705906
142,14240606
143,16771406
144,15595106
145,13011706
146,15616506
147,14292406
148,14311706
149,14292206
150,15584906
151,17908106
152,15624506
153,15621706
154,15620706
155,14293306
156,15567806
157,14274606
158,14301906
159,14320306
160,16764806
161,15549406
162,14810406
163,14806606
164,14292006
165,17328306
166,16772806
167,12958606
168,15586206
169,16731806
170,15612906
171,15590206
172,15575506
173,16191706
174,16762606
175,18607906
176,17327806
177,15555506
178,15622606
179,16747206
180,16749306
181,16760106
182,17934706
183,17333906
184,1595006
185,1581806
186,4791406
187,1578206
188,1580906
189,1755206
190,4761606
191,1755606
192,1600606
193,3727706
