,studium_id
0,12375406
1,7785906
2,12967806
3,9225306
4,9668306
5,11719706
6,13016006
7,8398406
8,9665506
9,7791306
10,13518506
11,8295306
12,10086506
13,6317406
14,13512006
15,12994106
16,9188106
17,7811206
18,13518606
19,15586306
20,11686106
21,9222706
22,9186206
23,14283706
24,12034706
25,12032006
26,11735706
27,11744806
28,9664306
29,14258006
30,12958906
31,13516406
32,16752506
33,12974306
34,16705906
35,16771406
36,12998206
37,11717706
38,12985606
39,15616506
40,12990606
41,12965106
42,15584906
43,17908106
44,15620706
45,14293306
46,15567806
47,16764806
48,14322706
49,16731806
50,15612906
51,16719406
52,15593306
53,14292706
54,16747206
55,15603506
56,16749806
57,17934706
58,16722206
59,18601706
60,12979706
61,4791406
62,4277606
