,studium_id
0,12375406
1,8361406
2,7783306
3,7785906
4,6305806
5,9225306
6,9668306
7,11719706
8,13016006
9,8398406
10,9665506
11,7830906
12,7791306
13,9214506
14,9210406
15,10086506
16,11727206
17,7809406
18,9211006
19,7828906
20,9200706
21,6317406
22,7845306
23,13512006
24,7800806
25,8416706
26,12994106
27,11742506
28,9671406
29,7825506
30,9188106
31,7811206
32,13518606
33,15586306
34,11686106
35,9222706
36,9215306
37,9174906
38,12978506
39,9186206
40,14283706
41,9197106
42,12033706
43,9205006
44,9186306
45,9227506
46,12034706
47,7829506
48,11733706
49,12032006
50,12997606
51,11735706
52,11744806
53,9219706
54,9170606
55,13009606
56,9211806
57,9179406
58,11733106
59,12987106
60,11746506
61,13001306
62,11700606
63,13519306
64,11680406
65,11695406
66,9169406
67,9172006
68,9208006
69,11712506
70,9216606
71,11725406
72,11688606
73,14246906
74,11722606
75,14258006
76,12958906
77,12991006
78,11704806
79,11697206
80,11706306
81,14277206
82,11730206
83,11693506
84,11691806
85,14805706
86,13516406
87,12954406
88,12974306
89,11710206
90,11712806
91,11721106
92,9667706
93,9226606
94,11709106
95,11689006
96,11677306
97,12990906
98,16705906
99,14240606
100,13515906
101,11680906
102,11692306
103,16771406
104,11717706
105,12985606
106,11683906
107,12030306
108,15595106
109,14799206
110,11728106
111,13011706
112,15616506
113,14292406
114,13013206
115,11728306
116,12990606
117,12965106
118,14311706
119,14292206
120,15584906
121,17908106
122,15624506
123,15621706
124,15620706
125,14293306
126,13510906
127,15567806
128,14275706
129,14274606
130,14320306
131,16764806
132,12969106
133,15549406
134,12961006
135,12991606
136,14266706
137,14810406
138,14806606
139,14292006
140,15596006
141,17328306
142,16772806
143,15586206
144,16731806
145,15612906
146,16719406
147,16740806
148,15590206
149,16191706
150,16762606
151,17326106
152,18607906
153,17327806
154,16748906
155,15555506
156,15593306
157,16190406
158,15622606
159,14812706
160,16749306
161,16757106
162,16760106
163,16740506
164,16711906
165,17322306
166,16749806
167,17934706
168,16728806
169,17333906
170,17322206
171,12979706
172,4791406
173,4770506
174,4830706
