,studium_id
0,12375406
1,9671006
2,8361406
3,7783306
4,7785906
5,9225306
6,9668306
7,11719706
8,8398406
9,9665506
10,7791006
11,6318006
12,7830906
13,7791306
14,9214506
15,9210406
16,11727206
17,7809406
18,9211006
19,7828906
20,9200706
21,7845306
22,13512006
23,7800806
24,11742506
25,9671406
26,7825506
27,9188106
28,7811206
29,13518606
30,15586306
31,11686106
32,9222706
33,9215306
34,9174906
35,12978506
36,9186206
37,14283706
38,9197106
39,12033706
40,9205006
41,9186306
42,12034706
43,11733706
44,12032006
45,12997606
46,11735706
47,11744806
48,9170606
49,13009606
50,9179406
51,11733106
52,12987106
53,13001306
54,11700606
55,13519306
56,11680406
57,11695406
58,9172006
59,9208006
60,11712506
61,14246906
62,11722606
63,14258006
64,12958906
65,11704806
66,11697206
67,11693506
68,14805706
69,13516406
70,12954406
71,12974306
72,11699506
73,11721106
74,11709106
75,9255006
76,11677306
77,16705906
78,16771406
79,11717706
80,15595106
81,14799206
82,15616506
83,14292406
84,13013206
85,14311706
86,15584906
87,17908106
88,14286906
89,15624506
90,15621706
91,15620706
92,14293306
93,13510906
94,15567806
95,14275706
96,14274606
97,14301906
98,14320306
99,16764806
100,13009006
101,15549406
102,14266706
103,14810406
104,14806606
105,15596006
106,17328306
107,16772806
108,15586206
109,16731806
110,15612906
111,16719406
112,16740806
113,15590206
114,15575506
115,16191706
116,16762606
117,18607906
118,17327806
119,16748906
120,15593306
121,16747206
122,16757106
123,16760106
124,16740506
125,16711906
126,17322306
127,17934706
128,16722206
129,16728806
130,12979706
131,4770506
