,studium_id
0,12375406
1,9671006
2,8361406
3,6305806
4,9225306
5,9668306
6,4779006
7,11719706
8,4788206
9,8398406
10,9665506
11,7830906
12,9214506
13,9210406
14,11727206
15,7828906
16,6317406
17,7845306
18,13512006
19,7800806
20,8416706
21,12994106
22,11742506
23,9671406
24,7825506
25,6317706
26,9188106
27,7811206
28,13518606
29,15586306
30,11686106
31,9222706
32,9215306
33,9174906
34,12978506
35,9186206
36,7815306
37,14283706
38,9197106
39,12033706
40,9205006
41,9186306
42,9227506
43,12034706
44,7829506
45,11733706
46,12032006
47,12997606
48,11735706
49,11744806
50,9219706
51,13009606
52,9211806
53,9179406
54,12987106
55,11746506
56,7819506
57,7824706
58,13001306
59,11700606
60,13519306
61,11680406
62,11695406
63,9169406
64,9172006
65,11712506
66,9216606
67,11725406
68,11709806
69,12958906
70,11704806
71,11706306
72,11730206
73,14805706
74,11710206
75,11721106
76,9667706
77,11709106
78,9171906
79,11689006
80,12990906
81,16705906
82,13515906
83,11692306
84,16771406
85,12998206
86,11717706
87,15595106
88,14799206
89,11716206
90,11728106
91,13011706
92,15616506
93,14292406
94,13013206
95,11728306
96,12990606
97,12965106
98,14311706
99,15624506
100,15621706
101,14293306
102,13510906
103,15567806
104,14274606
105,14301906
106,14320306
107,12969106
108,13518306
109,15549406
110,12989506
111,12961006
112,14266706
113,14810406
114,12991506
115,15596006
116,17328306
117,16772806
118,14322706
119,15586206
120,16731806
121,16719406
122,16740806
123,15590206
124,15575506
125,16191706
126,16762606
127,17326106
128,18607906
129,17327806
130,16748906
131,15555506
132,16190406
133,14292706
134,14812706
135,15603506
136,16757106
137,16760106
138,16740506
139,16711906
140,17322306
141,16749806
142,17934706
143,16722206
144,16722006
145,16728806
146,17333906
147,18601706
148,15611706
149,17322206
150,12979706
151,4791406
152,6284306
153,4770506
154,4830706
