,studium_id
0,12375406
1,9671006
2,7783306
3,6305806
4,9225306
5,9668306
6,8398406
7,9665506
8,7791006
9,9214506
10,9210406
11,10086506
12,11727206
13,9211006
14,7828906
15,7845306
16,7800806
17,8416706
18,12994106
19,11742506
20,7825506
21,9188106
22,13518606
23,15586306
24,9222706
25,9215306
26,9174906
27,12978506
28,9186206
29,14283706
30,9197106
31,12033706
32,9205006
33,12032006
34,11735706
35,11744806
36,13009606
37,9211806
38,9179406
39,12987106
40,11746506
41,7824706
42,11700606
43,13519306
44,11680406
45,11695406
46,9172006
47,11698306
48,11712506
49,9216606
50,11714506
51,11688606
52,14246906
53,14258006
54,12958906
55,11693506
56,11691806
57,13516406
58,12954406
59,11712806
60,11699506
61,11721106
62,9226606
63,11689006
64,16705906
65,16771406
66,12998206
67,12985606
68,15595106
69,14799206
70,13011706
71,15616506
72,14292406
73,13013206
74,11728306
75,12965106
76,14311706
77,14292206
78,15584906
79,15624506
80,15621706
81,14293306
82,15567806
83,14275706
84,14274606
85,14301906
86,13518306
87,14266706
88,14810406
89,14806606
90,14292006
91,15596006
92,15586206
93,16731806
94,16740806
95,16762606
96,17326106
97,18607906
98,15555506
99,16190406
100,16747206
101,16760106
102,16740506
103,16711906
104,17322306
105,16749806
106,17934706
107,16722006
108,16728806
109,17322206
110,4791406
111,6284306
112,4770506
113,4830706
