,studium_id
0,12375406
1,9671006
2,7783306
3,7785906
4,12967806
5,9225306
6,9668306
7,11719706
8,8398406
9,9665506
10,7791006
11,13518506
12,9214506
13,14256606
14,9210406
15,10086506
16,11727206
17,9211006
18,7828906
19,13512006
20,12994106
21,11742506
22,9188106
23,13518606
24,15586306
25,11686106
26,9215306
27,12978506
28,14283706
29,9197106
30,12033706
31,11733706
32,12032006
33,11735706
34,11744806
35,9219706
36,9170606
37,9211806
38,9179406
39,11733106
40,11746506
41,6297806
42,13001306
43,13519306
44,11680406
45,11695406
46,11698306
47,11712506
48,11688606
49,11722606
50,14258006
51,12958906
52,11704806
53,11693506
54,11691806
55,13516406
56,11699506
57,11721106
58,11709106
59,11677306
60,12990906
61,16705906
62,16771406
63,12998206
64,15595106
65,15616506
66,14292406
67,14311706
68,14292206
69,15584906
70,17908106
71,15624506
72,15621706
73,14293306
74,15567806
75,14274606
76,14301906
77,16764806
78,14810406
79,16772806
80,15586206
81,16731806
82,15612906
83,16719406
84,16740806
85,15575506
86,16762606
87,18607906
88,16748906
89,16190406
90,16747206
91,16760106
92,16740506
93,16711906
94,16749806
95,17934706
96,16722206
97,18601706
98,17322206
99,12979706
