,studium_id
0,12375406
1,9671006
2,8361406
3,7783306
4,7785906
5,6305806
6,12967806
7,9225306
8,9668306
9,11719706
10,8398406
11,9665506
12,7791006
13,13518506
14,14256606
15,9210406
16,10086506
17,5497606
18,12994106
19,13518606
20,15586306
21,12978506
22,14283706
23,12997606
24,11744806
25,11733106
26,6296506
27,11680406
28,11712506
29,7816606
30,7795906
31,12990906
32,16705906
33,14240606
34,16771406
35,9208606
36,15567806
37,11728906
38,16764806
39,15549406
40,17328306
41,16762606
42,18607906
43,16748906
44,13110406
45,14265006
46,14252106
47,17934706
48,14274106
49,14303206
50,12979706
51,6284306
52,4770106
53,4830706
