,studium_id
0,12375406
1,9671006
2,7783306
3,7785906
4,6305806
5,9225306
6,9668306
7,11719706
8,8398406
9,9665506
10,6318006
11,7830906
12,6301706
13,7791306
14,13518506
15,9210406
16,10086506
17,11727206
18,7809406
19,9211006
20,7828906
21,9200706
22,6317406
23,7845306
24,13512006
25,7800806
26,8416706
27,12994106
28,11742506
29,9671406
30,7825506
31,9188106
32,7811206
33,13518606
34,15586306
35,11686106
36,9222706
37,9215306
38,12978506
39,9186206
40,14283706
41,9197106
42,12033706
43,9205006
44,9227506
45,12034706
46,11733706
47,12032006
48,12997606
49,11735706
50,11744806
51,9219706
52,9170606
53,13009606
54,9211806
55,9179406
56,11733106
57,12987106
58,11746506
59,7824706
60,13001306
61,11700606
62,13519306
63,11680406
64,11695406
65,9169406
66,9172006
67,9664306
68,11698306
69,11712506
70,9216606
71,11709806
72,11688606
73,14246906
74,14258006
75,12958906
76,12991006
77,11704806
78,11697206
79,11730206
80,11693506
81,14805706
82,12954406
83,16752506
84,12974306
85,11710206
86,11699506
87,9667706
88,9226606
89,11709106
90,11677306
91,12990906
92,16705906
93,14240606
94,16771406
95,12998206
96,11717706
97,12985606
98,15595106
99,11728106
100,13011706
101,15616506
102,14292406
103,13013206
104,11717606
105,11728306
106,12990606
107,12965106
108,14311706
109,11705606
110,15584906
111,14286906
112,15624506
113,15621706
114,15620706
115,13510906
116,15567806
117,14275706
118,14301906
119,14320306
120,16764806
121,12969106
122,15549406
123,12961006
124,14266706
125,14810406
126,14806606
127,14292006
128,17328306
129,16772806
130,15586206
131,16731806
132,15612906
133,16719406
134,16740806
135,15575506
136,16762606
137,17326106
138,18607906
139,17327806
140,16748906
141,15555506
142,15593306
143,16190406
144,14292706
145,15622606
146,16747206
147,16749306
148,15603506
149,16760106
150,16740506
151,16711906
152,16749806
153,17934706
154,16722206
155,16728806
156,17333906
157,18601706
158,17322206
159,12979706
160,4761606
161,4830706
