,studium_id
0,1578106
1,4047706
2,12375406
3,1565606
4,1565706
5,1566506
6,1566606
7,1566906
8,1567106
9,1567206
10,1567506
11,1567706
12,1567906
13,1568006
14,1568506
15,1568606
16,1569006
17,1569106
18,1570206
19,1570406
20,1571006
21,1571106
22,1571306
23,9671006
24,1571906
25,1572206
26,1573706
27,1573806
28,1574006
29,1574206
30,1574506
31,1574606
32,1574706
33,1575206
34,1576306
35,1576706
36,1577506
37,1578406
38,1578606
39,1579106
40,1579306
41,1580106
42,1580206
43,1580606
44,1580706
45,1580806
46,1581106
47,1581406
48,1581706
49,1583406
50,1584106
51,1584306
52,1585106
53,1585506
54,1586006
55,1586206
56,1586706
57,1587006
58,1587206
59,1587706
60,1588306
61,1588406
62,1589206
63,1589706
64,1589906
65,1590106
66,1591106
67,1591506
68,1591606
69,1591706
70,1591906
71,1592106
72,1592206
73,1592506
74,1592706
75,1593006
76,1593206
77,1593306
78,1593406
79,1593606
80,1594406
81,1594706
82,1594806
83,1595306
84,1595806
85,1597606
86,1597706
87,1597906
88,1598006
89,1598106
90,1598306
91,1598706
92,1598906
93,1599406
94,1599606
95,1600506
96,1600706
97,1601006
98,1601606
99,1601706
100,1601806
101,1602406
102,1603006
103,1603206
104,1603306
105,1603706
106,1603806
107,1603906
108,1604506
109,1605306
110,1605406
111,4760606
112,2814906
113,3721906
114,5528006
115,3750206
116,4279006
117,5698306
118,3753306
119,3718106
120,3718406
121,3718506
122,3718906
123,3719006
124,3719206
125,3719506
126,3719606
127,3719906
128,3720206
129,3720306
130,3720406
131,3720506
132,3720706
133,3720806
134,3720906
135,3721006
136,3721206
137,3721306
138,3721706
139,3721806
140,3722006
141,3722406
142,3722506
143,3722606
144,3722706
145,3723006
146,3723506
147,3723606
148,3723806
149,3723906
150,3724206
151,3724306
152,3724706
153,3725006
154,3725106
155,3725306
156,3725506
157,3725606
158,3725706
159,3725906
160,7785906
161,3726106
162,3726306
163,3726406
164,3726506
165,3726806
166,3727006
167,3727106
168,3727206
169,3727306
170,3727406
171,3727806
172,3728406
173,3728606
174,3728806
175,3728906
176,3729206
177,3729406
178,3729506
179,3729606
180,3730106
181,3730306
182,3730406
183,3730606
184,3730706
185,3730906
186,3731206
187,3731306
188,3731606
189,3731806
190,3731906
191,3732106
192,6305806
193,3732306
194,3732406
195,3732906
196,3733106
197,3733406
198,3733806
199,3733906
200,3734106
201,3734206
202,12967806
203,3734406
204,3734606
205,3735406
206,4776006
207,3735606
208,3735706
209,3735806
210,3736506
211,3736606
212,3736806
213,3737006
214,3737106
215,9225306
216,3737706
217,3737906
218,9668306
219,3738106
220,3738206
221,3738306
222,3738706
223,3739006
224,4779006
225,3739506
226,3739706
227,3739906
228,3740106
229,3740506
230,3740806
231,3740906
232,3741106
233,3741206
234,3741306
235,3741406
236,3741506
237,3741706
238,3742106
239,3742406
240,3742606
241,3743206
242,3743806
243,3743906
244,11719706
245,3744706
246,3744806
247,3744906
248,3745206
249,3745306
250,3745406
251,3745506
252,3745706
253,3745806
254,3745906
255,3746306
256,3746706
257,3746806
258,3746906
259,3747006
260,3747206
261,3747306
262,3747506
263,3747606
264,3747706
265,3749206
266,3749306
267,3749606
268,3750606
269,3750806
270,3752106
271,3753006
272,3753506
273,3753806
274,3753906
275,3754006
276,3754206
277,3754306
278,3754406
279,3754706
280,3754806
281,3756306
282,3756606
283,3756906
284,3757306
285,13016006
286,3757506
287,3757606
288,3757906
289,3758206
290,3759306
291,3759506
292,3759906
293,3760206
294,3760706
295,3761106
296,3761406
297,3761906
298,3762106
299,3762206
300,3762806
301,3763006
302,3763206
303,3763306
304,8398406
305,3764306
306,3764606
307,3764706
308,3764906
309,3765306
310,3765706
311,3765906
312,3766006
313,3766206
314,3766306
315,3766406
316,3766506
317,3766606
318,3766806
319,3766906
320,3767206
321,3767306
322,3767506
323,3767606
324,9665506
325,3768306
326,3768506
327,3768606
328,3768906
329,7791006
330,3769206
331,3769306
332,3769606
333,3769806
334,3770006
335,3770406
336,3770506
337,3770706
338,3770806
339,3771506
340,3771606
341,3772006
342,3772106
343,3773106
344,3773406
345,3773706
346,3773806
347,3773906
348,5803506
349,4045806
350,4046106
351,4046306
352,4047206
353,4047506
354,4047606
355,4048206
356,4048306
357,4048506
358,4048706
359,4049306
360,4049406
361,4050206
362,4050506
363,4050606
364,4050706
