,studium_id
0,12375406
1,9225306
2,9668306
3,8398406
4,9665506
5,7791006
6,7791306
7,13518506
8,14256606
9,7809406
10,13512006
11,8416706
12,12994106
13,11742506
14,9188106
15,13518606
16,15586306
17,11686106
18,9174906
19,12978506
20,14283706
21,9197106
22,12033706
23,11733706
24,12032006
25,12997606
26,11735706
27,12987106
28,13001306
29,11680406
30,11695406
31,9169406
32,9172006
33,11698306
34,11712506
35,11725406
36,11688606
37,14246906
38,14258006
39,12958906
40,11704806
41,11706306
42,11730206
43,14805706
44,13516406
45,16752506
46,11699506
47,11721106
48,11709106
49,12979306
50,16705906
51,14240606
52,9178306
53,16771406
54,13013206
55,14311706
56,17908106
57,15624506
58,15567806
59,14301906
60,16764806
61,15549406
62,15596006
63,15586206
64,16731806
65,16719406
66,17326106
67,18607906
68,16748906
69,15555506
70,15593306
71,16190406
72,16760106
73,16749806
74,17934706
75,16722006
76,17333906
77,14303206
78,12979706
79,4791406
