,studium_id
0,9671006
1,8361406
2,6305806
3,9225306
4,9668306
5,8398406
6,9665506
7,7791006
8,7830906
9,7791306
10,9214506
11,4756506
12,9210406
13,10086506
14,11727206
15,7809406
16,9211006
17,6317406
18,7845306
19,13512006
20,11742506
21,7825506
22,6317706
23,9188106
24,7811206
25,13518606
26,15586306
27,11686106
28,9174906
29,12978506
30,14283706
31,9205006
32,9227506
33,12034706
34,12032006
35,12997606
36,11744806
37,9170606
38,13009606
39,9211806
40,9179406
41,11733106
42,6293806
43,12987106
44,7819506
45,13001306
46,13519306
47,11680406
48,11695406
49,11712506
50,9216606
51,11709806
52,11688606
53,14258006
54,12958906
55,12991006
56,14277206
57,11693506
58,11691806
59,13516406
60,16752506
61,12974306
62,11721106
63,9171906
64,12035306
65,12990906
66,16705906
67,14240606
68,13515906
69,11680906
70,16771406
71,12998206
72,11717706
73,12985606
74,15595106
75,14799206
76,15616506
77,14292406
78,13013206
79,12990606
80,12965106
81,15584906
82,17908106
83,14286906
84,15624506
85,15620706
86,14293306
87,15567806
88,14275706
89,14274606
90,14301906
91,14320306
92,16764806
93,15549406
94,14266706
95,14810406
96,14806606
97,14292006
98,15596006
99,17328306
100,16772806
101,15586206
102,16731806
103,15612906
104,16740806
105,15590206
106,16191706
107,16762606
108,17326106
109,18607906
110,17327806
111,16748906
112,15555506
113,15593306
114,16190406
115,16747206
116,16749306
117,16757106
118,16760106
119,16740506
120,16711906
121,17322306
122,16749806
123,17934706
124,16722206
125,16722006
126,16728806
127,17333906
128,14303206
129,18601706
130,14316806
131,17322206
132,12979706
133,4791406
134,6284306
135,4830706
