"predmet_id";"studijni_plan_id";"kod_predmetu";"nazev_predmetu";"studijni_plan_kod";"studijni_plan_nazev_cs";"pocet_kreditu";"typ_predmetu";"forma_studia";"uroven_studia";"zpusob_zakonceni";"jazyk_vyuky";"cislo_dop_sem"
"1121806";"1014506";"BI-SAP";"Struktura a architektura počítačů";"BI-IT";"Informační technologie - verze pro ty, kteří se zapsali v roce 2009 a 2010";"6";"P";"P";"B";"Z,ZK";"CS";"2"
"1122106";"1014506";"BI-ZMA";"Základy matematické analýzy";"BI-IT";"Informační technologie - verze pro ty, kteří se zapsali v roce 2009 a 2010";"6";"P";"P";"B";"Z,ZK";"CS";"1"
"1124506";"1014506";"BI-APS";"Architektury počítačových systémů";"BI-IT";"Informační technologie - verze pro ty, kteří se zapsali v roce 2009 a 2010";"6";"PO";"P";"B";"Z,ZK";"CS";"3"
"1124606";"1014506";"BI-AWD";"Administrace webového a DB serveru";"BI-IT";"Informační technologie - verze pro ty, kteří se zapsali v roce 2009 a 2010";"4";"PO";"P";"B";"Z,ZK";"CS";"6"
"1122306";"1014506";"BI-ADU";"Administrace OS Unix";"BI-IT";"Informační technologie - verze pro ty, kteří se zapsali v roce 2009 a 2010";"6";"PO";"P";"B";"Z,ZK";"CS";"4"
"1124706";"1014506";"BI-BEZ";"Bezpečnost";"BI-IT";"Informační technologie - verze pro ty, kteří se zapsali v roce 2009 a 2010";"6";"P";"P";"B";"Z,ZK";"CS";"5"
"1124306";"1014506";"BI-ADS";"Administrace sítí";"BI-IT";"Informační technologie - verze pro ty, kteří se zapsali v roce 2009 a 2010";"5";"PO";"P";"B";"Z,ZK";"CS";"5"
"1124406";"1014506";"BI-ADW";"Administrace OS Windows";"BI-IT";"Informační technologie - verze pro ty, kteří se zapsali v roce 2009 a 2010";"5";"PO";"P";"B";"Z,ZK";"CS";"3"
"1123406";"1014506";"BI-SI1";"Softwarové inženýrství I";"BI-IT";"Informační technologie - verze pro ty, kteří se zapsali v roce 2009 a 2010";"5";"PO";"P";"B";"ZK";"CS";"5"
"1123506";"1014506";"BI-SKJ";"Skriptovací jazyky";"BI-IT";"Informační technologie - verze pro ty, kteří se zapsali v roce 2009 a 2010";"4";"PO";"P";"B";"Z,ZK";"CS";"4"
"1121506";"1014506";"BI-PA1";"Programování a algoritmizace 1";"BI-IT";"Informační technologie - verze pro ty, kteří se zapsali v roce 2009 a 2010";"6";"P";"P";"B";"Z,ZK";"CS";"1"
"1142806";"1014506";"BI-BAP";"Bakalářská práce";"BI-IT";"Informační technologie - verze pro ty, kteří se zapsali v roce 2009 a 2010";"14";"P";"";"B";"Z";"CS";"6"
"1121906";"1014506";"BI-TED";"Tvorba elektronické dokumentace";"BI-IT";"Informační technologie - verze pro ty, kteří se zapsali v roce 2009 a 2010";"5";"P";"P";"B";"KZ";"CS";"2"
"1110806";"1014506";"BI-CAO";"Číslicové a analogové obvody";"BI-IT";"Informační technologie - verze pro ty, kteří se zapsali v roce 2009 a 2010";"5";"P";"P";"B";"Z,ZK";"CS";"1"
"1121706";"1014506";"BI-PAI";"Právo a informatika";"BI-IT";"Informační technologie - verze pro ty, kteří se zapsali v roce 2009 a 2010";"3";"P";"P";"B";"ZK";"CS";"1"
