role,kod_predmetu,nazev_predmetu,rozsah_vyuky,zakonceni,semestr,pocet_kreditu,vyucujici,katedra
PP,BI-PA1,Programování a algoritmizace 1,2P+2R+2C,"Z,ZK",Z,6,"Balík M., Vogel J.",18101
PP,BI-PAI,Právo a informatika,2P,ZK,Z,3,Kučera Z.,18102
PP,BI-CAO,Číslicové a analogové obvody,2P+2C,"Z,ZK",Z,5,"Řezníček J., Kohlík M., Novotný M.",18103
PP,BI-PS1,Programování v shellu 1,2P+2C,KZ,Z,5,"Muzikář Z., Trdlička J.",18104
PP,BI-MLO,Matematická logika,2P+1C,"Z,ZK",Z,5,"Starý J., Trlifajová K.",18105
PP,BI-ZMA,Základy matematické analýzy,3P+2C,"Z,ZK",Z,6,"Kalvoda T., Petr I.",18105
PP,BI-PA2,Programování a algoritmizace 2,2P+1R+2C,"Z,ZK",L,7,"Trávníček J., Vagner L.",18101
PP,BI-DBS,Databázové systémy,2P+2R+1L,"Z,ZK","Z,L",6,Hunka J.,18102
PP,BI-SAP,Struktura a architektura počítačů,2P+1R+2C,"Z,ZK",L,6,,18103
PP,BI-LIN,Lineární algebra,4P+2C,"Z,ZK",L,7,"Dombek D., Kleprlík L.",18105
PP,BI-AG1,Algoritmy a grafy 1,2P+2C,"Z,ZK",Z,6,"Knop D., Valla T.",18101
PP,BI-AAG,Automaty a gramatiky,2P+2C,"Z,ZK",Z,6,"Holub J., Janoušek J.",18101
PP,BI-ZDM,Základy diskrétní matematiky,2P+2C,"Z,ZK",Z,5,"Kleprlík L., Kolář J., Scholtzová J.",18105
PO,BI-TIS,Tvorba informačních systémů,2P+1C,"Z,ZK",Z,5,Náplava P.,18102
PE,BI-EMP,Ekonomické a manažerské principy,2P+2C,KZ,"Z,L",4,Buchtela D.,18102
PP,BI-SI1.2,Softwarové inženýrství I,2P+1C,"Z,ZK","Z,L",5,"Kroha P., Mlejnek J.",18102
PP,BI-OSY,Operační systémy,2P+1R+1L,"Z,ZK",L,5,Trdlička J.,18104
PP,BI-PSI,Počítačové sítě,2P+1R+1C,"Z,ZK",L,5,"Černý V., Fesl J., Kubalík P., Smotlacha V., Trofimova Y.",18104
PP,BI-BEZ,Bezpečnost,2P+2C,"Z,ZK",L,6,"Buček J., Lórencz R.",18106
PO,BI-PRP,Právo a podnikání,2P+1R,"Z,ZK",L,4,Kučera Z.,18102
PP,BI-BPR,Bakalářský projekt,,Z,"Z,L",2,,18000
PP,BI-PST,Pravděpodobnost a statistika,2P+1R+1C,"Z,ZK",Z,5,Novák P.,18105
PO,BI-KOM,Konceptuální modelování,2P+2C,"Z,ZK",Z,5,Pergl R.,18102
PO,BI-SI2.3,Softwarové inženýrství 2,2P,"Z,ZK",Z,3,Hlavatý M.,18102
PO,BI-ZNS,Znalostní systémy,2P+2C,"Z,ZK",Z,5,Jiřina M.,18105
PP,BI-BAP,Bakalářská práce,,Z,"L,Z",14,,18000
PP,BI-DPR,"Dokumentace, prezentace, rétorika",2P+2C,KZ,"Z,L",4,"Guth O., Vynikarová D.",18102
PO,BI-AG2,Algoritmy a grafy 2,2P+2C,"Z,ZK",L,5,Knop D.,18101
PO,BI-PJP,Programovací jazyky a překladače,2P+1C,"Z,ZK",L,5,Janoušek J.,18101
PO,BI-OOP,Object-Oriented Programming,2P+2C,"Z,ZK",Z,4,Křikava F.,18101
PO,BI-PPA,Programovací paradigmata,2P+2R,"Z,ZK",Z,5,Janoušek J.,18101
PO,BI-APS.1,Architektury počítačových systémů,2P+2C,"Z,ZK",Z,5,"Štepanovský M., Tvrdík P.",18104
PO,BI-VZD,Vytěžování znalostí z dat,2P+2C,"Z,ZK",Z,4,Kovalenko A.,18105
PO,BI-JPO,Jednotky počítače,2P+2C,"Z,ZK",Z,5,"Kubalík P., Pluháček A.",18103
PO,BI-VES,Vestavné systémy,2P+2C,"Z,ZK",L,5,Skrbek M.,18103
PO,BI-PNO,Praktika v návrhu číslicových obvodů,2P+2C,KZ,Z,5,Novotný M.,18103
PO,BI-SRC,Systémy reálného času,2P+2C,KZ,Z,4,Kubátová H.,18103
PO,BI-ZRS,Základy řízení systému,2P+2C,"Z,ZK",Z,4,Hyniová K.,18103
PO,BI-ADW.1,Administrace OS Windows,2P+1C,"Z,ZK",Z,4,"Kašpar J., Prágl M.",18104
PO,BI-ADU.1,Administrace OS Unix,2P+2C,"Z,ZK",L,5,"Žďárek J., Muzikář Z.",18104
PO,BI-BEK,Bezpečný kód,2P+2C,"Z,ZK",L,5,"Kokeš J., Lórencz R.",18106
