role,kod_predmetu,nazev_predmetu,rozsah_vyuky,zakonceni,semestr,pocet_kreditu,vyucujici,katedra,doporuceny_semestr
PP,MI-PAA,Problémy a algoritmy,2P+1R+1C,"Z,ZK",Z,5,,18103,1
PP,MI-MPI,Matematika pro informatiku,3P+2C,"Z,ZK",Z,7,,18105,1
PO,MI-NFA.16,Návrh obvodů technologií FPGA a ASIC,2P+1C,"Z,ZK",Z,5,,18103,1
PO,MI-SIM.16,Simulace číslicových obvodů,2P+1C,"Z,ZK","L,Z",5,,18103,1
PO,MI-TES.16,Teorie systémů,2P+1C,"Z,ZK",Z,5,,18103,1
PP,MI-PDP.16,Paralelní a distribuované programování,2P+2C,"Z,ZK",L,5,,18104,2
PP,MI-SPI.16,Statistika pro informatiku,4P+2C,"Z,ZK",L,7,,18105,2
PO,MI-BHW.16,Bezpečnost a technické prostředky,2P+2C,"Z,ZK",L,5,,18103,2
PO,MI-BKO.16,Bezpečnostní kódy,2P+1C,"Z,ZK",L,5,,18103,2
PP,MI-MPR,Magisterský projekt,,Z,"Z,L",7,,18000,3
PO,MI-SOC.16,Systémy na čipu,2P+1C,"Z,ZK",Z,5,,18103,3
PO,MI-TSP.16,Testování a spolehlivost,2P+2C,"Z,ZK",Z,5,,18103,3
PP,MI-DIP,Magisterská práce,,Z,"L,Z",23,,18000,4
