,vyplnenost
cislo_prihlasky,100.0
odkud_uchazec_prihlasen_kod,46.389
prihlaska_kod,100.0
studium_id,100.0
rozhodnuti_kod,99.902
obor_ss_kod,25.624999999999996
ss_izo,35.938
ss_typ,35.682
ss_predmet1,1.2789999999999968
ss_predmet2,1.2009999999999965
ss_predmet3,0.019999999999997797
ss_predmet4,0.019999999999997797
ss_predmet5,0.0
ss_predmet1_znamky,0.6299999999999972
ss_predmet2_znamky,0.5510000000000015
ss_predmet3_znamky,0.019999999999997797
ss_predmet4_znamky,0.019999999999997797
ss_predmet5_znamky,0.0
ss_predmet1_prumer,0.11799999999999589
ss_predmet2_prumer,0.11799999999999589
ss_predmet3_prumer,0.05899999999999794
ss_predmet4_prumer,0.05899999999999794
ss_predmet5_prumer,0.0
ss_prumer_prumeru,0.05899999999999794
ss_prumer_znamek,0.6299999999999972
bakalar_prumer,0.11799999999999589
predchozi_studium,21.787
doplnujici_udaj1,0.0
doplnujici_udaj2,0.0
doplnujici_udaj3,0.0
doplnujici_udaj4,0.5120000000000013
typ_prihlasky,100.0
maturita_znamky,0.0
maturita_prumer,0.0
maturita_predmety,0.039000000000000146
maturita_rok,53.257
cislo_mistnosti_pz,0.0
datum_pz,0.0
prominuti_pz,0.35399999999999876
hodnoceni_pz,70.51799999999999
hodnoceni_pz_cast1,1.3970000000000038
hodnoceni_pz_cast2,9.801000000000004
hodnoceni_pz_cast3,41.822
hodnoceni_pz_cast4,15.981000000000002
hodnoceni_pz_cast5,41.822
hodnoceni_pz_cast6,2.912999999999999
hodnoceni_pz_cast7,16.984999999999996
hodnoceni_pz_cast8,5.708000000000002
hodnoceni_pz_cast9,3.7390000000000034
hodnoceni_pz_cast10,0.0
hodnoceni_pz_cast11,0.0
hodnoceni_pz_cast12,0.0
zapsal_ke_studiu,42.254999999999995
status,0.0
stipendium,0.039000000000000146
stipendium_cizi,0.0
kolej_zadost,0.5120000000000013
termin,0.0
prechodne,0.3149999999999986
studijni_skupina,18.54
nove_prijaty,73.332
navazujici_stud_program,16.413999999999994
trvaly_pobyt_v_cr,90.888
financovani,100.0
stupen_predchoziho_vzdelani,97.343
pz1_datum,0.0
pz1_cas,0.0
pz1_mistnost,0.0
pz2_datum,0.0
pz2_cas,0.0
pz2_mistnost,0.0
pz3_datum,0.0
pz3_cas,0.0
pz3_mistnost,0.0
pisemny_test,0.0
anketa_odkud_kod,2.0070000000000032
anketa_odkud_poznamka,0.17700000000000493
cislo_uchazece,97.54
scio_test,20.213000000000005
olympiady,3.2669999999999977
postizeni_kod,0.6299999999999972
postizeni_poznamka,0.07899999999999574
placeno_r,0.0
placeno_poznamka,0.0
placeno_mail,0.0
staz_stat,1.043000000000005
staz_poznamka,0.0
maturita_uroven,0.0
zajem,0.0
zprava_pro_uchazece,0.0
priorita,0.0
datum_registrace,96.772
datum_rozhodnuti,97.54
misto_kod,65.794
okres_kod,55.422
zeme_kod,65.105
psc,57.843
